id,gene_id,gene_name,KO
33_31,K16131,microcystin synthetase protein McyB,K16131
33_32,K21107,medium-chain-fatty-acid---[acyl-carrier-protein] ligase [EC:6.2.1.47],K21107
33_33,K16410,stigmatellin polyketide synthase StiF,K16410
33_34,K16410,stigmatellin polyketide synthase StiF,K16410
33_35,K04786,yersiniabactin nonribosomal peptide/polyketide synthase,K04786
33_36,K23464,"flavin-dependent trigonelline monooxygenase, oxygenase component [EC:1.14.14.-]",K23464
33_37,K07114,Ca-activated chloride channel homolog,K07114
33_38,K10661,E3 ubiquitin-protein ligase MARCH6 [EC:2.3.2.27],K10661
33_39,K04102,"4,5-dihydroxyphthalate decarboxylase [EC:4.1.1.55]",K04102
33_4,K12548,autoaggregation protein RapA/B/C,K12548
33_40,K21127,protein S100-A8,K21127
33_41,33_41,,none
33_42,K12272,signal recognition particle receptor subunit beta,K12272
33_43,K06921,uncharacterized protein,K06921
33_44,33_44,,none
33_45,K03414,chemotaxis protein CheZ,K03414
33_46,K02471,vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein,K02471
33_47,K02471,vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein,K02471
33_48,33_48,,none
33_49,K08217,"MFS transporter, DHA3 family, macrolide efflux protein",K08217
33_5,K12548,autoaggregation protein RapA/B/C,K12548
33_50,K07496,putative transposase,K07496
33_51,K11004,"ATP-binding cassette, subfamily B, bacterial HlyB/CyaB",K11004
33_52,K07496,putative transposase,K07496
33_53,K02022,HlyD family secretion protein,K02022
33_54,K18491,homeobox protein ESX1,K18491
33_55,K05685,macrolide transport system ATP-binding/permease protein [EC:3.6.3.-],K05685
33_56,K01990,ABC-2 type transport system ATP-binding protein,K01990
33_57,K15667,fengycin family lipopeptide synthetase D,K15667
33_58,33_58,,none
33_59,K07333,archaeal flagellar protein FlaJ,K07333
33_6,K12548,autoaggregation protein RapA/B/C,K12548
33_60,K12962,undecaprenyl phosphate-alpha-L-ara4N flippase subunit ArnE,K12962
33_61,K03530,DNA-binding protein HU-beta,K03530
33_62,K00986,RNA-directed DNA polymerase [EC:2.7.7.49],K00986
33_63,K19231,fibronectin-binding autotransporter adhesin,K19231
33_64,33_64,,none
33_65,33_65,,none
33_66,K12684,serine protease autotransporter [EC:3.4.21.-],K12684
33_67,K12685,subtilase-type serine protease [EC:3.4.21.-],K12685
33_68,33_68,,none
33_69,K07494,putative transposase,K07494
33_7,K20208,3-methyl-L-tyrosine peroxygenase [EC:1.11.2.5],K20208
33_70,K07499,putative transposase,K07499
33_71,K07495,putative transposase,K07495
33_72,33_72,,none
33_73,K15256,tRNA (cmo5U34)-methyltransferase [EC:2.1.1.-],K15256
33_74,K09861,uncharacterized protein,K09861
33_75,K20207,hydroperoxy fatty acid reductase [EC:1.11.1.22],K20207
33_76,K09772,cell division inhibitor SepF,K09772
33_77,K00286,pyrroline-5-carboxylate reductase [EC:1.5.1.2],K00286
33_78,K06206,sugar fermentation stimulation protein A,K06206
33_79,K00260,glutamate dehydrogenase [EC:1.4.1.2],K00260
33_8,33_8,,none
33_80,K01817,phosphoribosylanthranilate isomerase [EC:5.3.1.24],K01817
33_81,K11913,type VI secretion system protein,K11913
33_82,K03696,ATP-dependent Clp protease ATP-binding subunit ClpC,K03696
33_83,K00700,"1,4-alpha-glucan branching enzyme [EC:2.4.1.18]",K00700
33_84,K00344,NADPH:quinone reductase [EC:1.6.5.5],K00344
33_85,33_85,,none
33_86,K21700,beta-alanine degradation protein BauB,K21700
33_87,K18900,"LysR family transcriptional regulator, regulator for bpeEF and oprC",K18900
33_88,K07147,methionine sulfoxide reductase catalytic subunit [EC:1.8.-.-],K07147
33_89,K01665,para-aminobenzoate synthetase component I [EC:2.6.1.85],K01665
33_9,K05375,MbtH protein,K05375
33_90,K07496,putative transposase,K07496
33_91,33_91,,none
33_92,33_92,,none
33_93,K19007,lysophosphatidiate acyltransferase [EC:2.3.1.51],K19007
33_94,33_94,,none
33_95,K21498,antitoxin HigA-1,K21498
33_96,K07334,toxin HigB-1,K07334
33_97,K22874,L-tyrosine isonitrile desaturase/decarboxylase [EC:1.14.20.9 1.14.20.10],K22874
33_98,K00281,glycine dehydrogenase [EC:1.4.4.2],K00281
33_99,K08844,leucine-rich repeat kinase 2 [EC:2.7.11.1],K08844
34_1,K00986,RNA-directed DNA polymerase [EC:2.7.7.49],K00986
34_2,34_2,,none
35_1,K08679,UDP-glucuronate 4-epimerase [EC:5.1.3.6],K08679
35_2,K05535,"alpha 1,2-mannosyltransferase [EC:2.4.1.-]",K05535
35_3,K19180,dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD+) [EC:1.1.1.339],K19180
35_4,K23012,peroxisomal leader peptide-processing protease [EC:3.4.21.-],K23012
36_1,36_1,,none
36_10,K02847,O-antigen ligase [EC:2.4.1.-],K02847
36_100,K01872,alanyl-tRNA synthetase [EC:6.1.1.7],K01872
36_101,36_101,,none
36_102,K16785,energy-coupling factor transport system permease protein,K16785
36_103,K16787,energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-],K16787
36_104,36_104,,none
36_105,36_105,,none
36_106,K02143,F-type H+-transporting ATPase subunit k,K02143
36_107,K03309,"dicarboxylate/amino acid:cation (Na+ or H+) symporter, DAACS family",K03309
36_108,K19428,sugar transferase EpsL [EC:2.-.-.-],K19428
36_11,K02847,O-antigen ligase [EC:2.4.1.-],K02847
36_12,K06921,uncharacterized protein,K06921
36_13,K16247,"LuxR family transcriptional regulator, glucitol operon activator",K16247
36_14,K10341,WD repeat and SOCS box-containing protein 1,K10341
36_15,K04771,serine protease Do [EC:3.4.21.107],K04771
36_16,K04771,serine protease Do [EC:3.4.21.107],K04771
36_17,36_17,,none
36_18,36_18,,none
36_19,36_19,,none
36_2,K03799,heat shock protein HtpX [EC:3.4.24.-],K03799
36_20,K04771,serine protease Do [EC:3.4.21.107],K04771
36_21,K13163,male-specific lethal 1,K13163
36_22,36_22,,none
36_23,36_23,,none
36_24,K09667,protein O-GlcNAc transferase [EC:2.4.1.255],K09667
36_25,K02099,"AraC family transcriptional regulator, arabinose operon regulatory protein",K02099
36_26,K07481,"transposase, IS5 family",K07481
36_27,K07481,"transposase, IS5 family",K07481
36_28,K19007,lysophosphatidiate acyltransferase [EC:2.3.1.51],K19007
36_29,36_29,,none
36_3,K00456,cysteine dioxygenase [EC:1.13.11.20],K00456
36_30,K17768,mitochondrial import receptor subunit TOM70,K17768
36_31,K07339,mRNA interferase HicA [EC:3.1.-.-],K07339
36_32,K18843,antitoxin HicB,K18843
36_33,K06180,23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23],K06180
36_34,K05337,ferredoxin,K05337
36_35,36_35,,none
36_36,36_36,,none
36_37,K02034,peptide/nickel transport system permease protein,K02034
36_38,K02672,type IV pilus assembly protein PilW,K02672
36_39,K08084,type IV fimbrial biogenesis protein FimT,K08084
36_4,K00568,2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64],K00568
36_40,K02671,type IV pilus assembly protein PilV,K02671
36_41,36_41,,none
36_42,36_42,,none
36_43,K19007,lysophosphatidiate acyltransferase [EC:2.3.1.51],K19007
36_44,36_44,,none
36_45,K01369,legumain [EC:3.4.22.34],K01369
36_46,K13525,transitional endoplasmic reticulum ATPase,K13525
36_47,K21744,"MerR family transcriptional regulator, thiopeptide resistance regulator",K21744
36_48,K07496,putative transposase,K07496
36_49,K02451,general secretion pathway protein B,K02451
36_5,K03867,UDP-glucose:tetrahydrobiopterin glucosyltransferase [EC:2.4.1.-],K03867
36_50,K00558,DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37],K00558
36_51,36_51,,none
36_52,36_52,,none
36_53,K09012,"DeoR family transcriptional regulator, suf operon transcriptional repressor",K09012
36_54,K09014,Fe-S cluster assembly protein SufB,K09014
36_55,K09013,Fe-S cluster assembly ATP-binding protein,K09013
36_56,K03500,16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176],K03500
36_57,K05801,DnaJ like chaperone protein,K05801
36_58,36_58,,none
36_59,K03823,phosphinothricin acetyltransferase [EC:2.3.1.183],K03823
36_6,K12352,sphingomyelin phosphodiesterase 3 [EC:3.1.4.12],K12352
36_60,K03284,magnesium transporter,K03284
36_61,K07496,putative transposase,K07496
36_62,K12132,eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1],K12132
36_63,36_63,,none
36_64,36_64,,none
36_65,36_65,,none
36_66,K02171,"BlaI family transcriptional regulator, penicillinase repressor",K02171
36_67,36_67,,none
36_68,K08884,"serine/threonine protein kinase, bacterial [EC:2.7.11.1]",K08884
36_69,K03111,single-strand DNA-binding protein,K03111
36_7,K03529,chromosome segregation protein,K03529
36_70,36_70,,none
36_71,K03025,DNA-directed RNA polymerase III subunit RPC6,K03025
36_72,36_72,,none
36_73,K03650,tRNA modification GTPase [EC:3.6.-.-],K03650
36_74,K06188,aquaporin Z,K06188
36_75,36_75,,none
36_76,K12351,sphingomyelin phosphodiesterase 2 [EC:3.1.4.12],K12351
36_77,K07114,Ca-activated chloride channel homolog,K07114
36_78,K03664,SsrA-binding protein,K03664
36_79,36_79,,none
36_8,K08591,acyl phosphate:glycerol-3-phosphate acyltransferase [EC:2.3.1.275],K08591
36_80,36_80,,none
36_81,K00766,anthranilate phosphoribosyltransferase [EC:2.4.2.18],K00766
36_82,K03517,quinolinate synthase [EC:2.5.1.72],K03517
36_83,36_83,,none
36_84,K06873,uncharacterized protein,K06873
36_85,36_85,,none
36_86,K03195,type IV secretion system protein VirB10,K03195
36_87,36_87,,none
36_88,K02044,phosphonate transport system substrate-binding protein,K02044
36_89,K02044,phosphonate transport system substrate-binding protein,K02044
36_9,K07680,"two-component system, NarL family, sensor histidine kinase ComP [EC:2.7.13.3]",K07680
36_90,K05874,"methyl-accepting chemotaxis protein I, serine sensor receptor",K05874
36_91,K01928,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]",K01928
36_92,K00794,"6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]",K00794
36_93,K07101,uncharacterized protein,K07101
36_94,K21600,"CsoR family transcriptional regulator, copper-sensing transcriptional repressor",K21600
36_95,K03688,ubiquinone biosynthesis protein,K03688
36_96,K07496,putative transposase,K07496
36_97,K11957,neutral amino acid transport system ATP-binding protein,K11957
36_98,K17244,putative chitobiose transport system substrate-binding protein,K17244
36_99,K02050,NitT/TauT family transport system permease protein,K02050
37_1,K01126,glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46],K01126
37_2,K12281,MSHA biogenesis protein MshK,K12281
37_3,K09281,copper-fist transcription factor,K09281
37_4,K01126,glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46],K01126
37_5,K01126,glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46],K01126
37_6,37_6,,none
37_7,K12685,subtilase-type serine protease [EC:3.4.21.-],K12685
38_1,K11356,"two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]",K11356
38_10,K07481,"transposase, IS5 family",K07481
38_11,38_11,,none
38_12,38_12,,none
38_13,38_13,,none
38_14,38_14,,none
38_15,38_15,,none
38_16,K03568,TldD protein,K03568
38_17,38_17,,none
38_18,38_18,,none
38_19,K10623,HOMODA hydrolase [EC:3.7.1.-],K10623
38_2,K21672,"2,4-diaminopentanoate dehydrogenase [EC:1.4.1.12 1.4.1.26]",K21672
38_20,K01426,amidase [EC:3.5.1.4],K01426
38_21,K01286,D-alanyl-D-alanine carboxypeptidase [EC:3.4.16.4],K01286
38_22,K02470,DNA gyrase subunit B [EC:5.6.2.2],K02470
38_23,K09931,uncharacterized protein,K09931
38_24,K07147,methionine sulfoxide reductase catalytic subunit [EC:1.8.-.-],K07147
38_25,K18917,mycoredoxin [EC:1.20.4.3],K18917
38_26,38_26,,none
38_27,K08181,"MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 4",K08181
38_28,K04643,sensory rhodopsin,K04643
38_29,K09835,prolycopene isomerase [EC:5.2.1.13],K09835
38_3,38_3,,none
38_30,K07492,putative transposase,K07492
38_31,K07495,putative transposase,K07495
38_32,K07499,putative transposase,K07499
38_33,K07494,putative transposase,K07494
38_34,K07494,putative transposase,K07494
38_35,38_35,,none
38_36,38_36,,none
38_37,38_37,,none
38_38,38_38,,none
38_39,K17298,mucin-13,K17298
38_4,K07499,putative transposase,K07499
38_40,K13487,methyl-accepting chemotaxis protein WspA,K13487
38_41,K13486,chemotaxis protein methyltransferase WspC,K13486
38_42,K13488,chemotaxis-related protein WspB,K13488
38_43,K02720,photosystem II cytochrome c550,K02720
38_44,K01924,UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8],K01924
38_45,K00075,UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98],K00075
38_46,38_46,,none
38_47,K03795,sirohydrochlorin cobaltochelatase [EC:4.99.1.3],K03795
38_48,K02303,uroporphyrin-III C-methyltransferase [EC:2.1.1.107],K02303
38_49,K01791,UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14],K01791
38_5,K06833,disintegrin and metalloproteinase domain-containing protein 2 [EC:3.4.24.-],K06833
38_50,K03548,putative permease,K03548
38_51,K01462,peptide deformylase [EC:3.5.1.88],K01462
38_52,K02313,chromosomal replication initiator protein,K02313
38_53,K08041,adenylate cyclase 1 [EC:4.6.1.1],K08041
38_54,K06889,uncharacterized protein,K06889
38_55,K08921,chlorophyll a/b binding light-harvesting protein PcbD,K08921
38_56,38_56,,none
38_57,K00800,3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19],K00800
38_58,38_58,,none
38_59,K07495,putative transposase,K07495
38_6,K07970,"beta-1,3-N-acetylglucosaminyltransferase 3 [EC:2.4.1.146 2.4.1.149]",K07970
38_60,K07499,putative transposase,K07499
38_61,K07494,putative transposase,K07494
38_62,K07494,putative transposase,K07494
38_63,K00800,3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19],K00800
38_64,K18843,antitoxin HicB,K18843
38_65,K15773,HTH-type transcriptional regulator / antitoxin HipB,K15773
38_66,38_66,,none
38_67,K02650,type IV pilus assembly protein PilA,K02650
38_68,38_68,,none
38_69,K07496,putative transposase,K07496
38_7,K07494,putative transposase,K07494
38_70,38_70,,none
38_71,38_71,,none
38_72,38_72,,none
38_73,K00620,glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1],K00620
38_74,K00214,biliverdin reductase [EC:1.3.1.24],K00214
38_75,K02639,ferredoxin,K02639
38_76,K02639,ferredoxin,K02639
38_77,K01911,O-succinylbenzoic acid---CoA ligase [EC:6.2.1.26],K01911
38_78,K03722,ATP-dependent DNA helicase DinG [EC:3.6.4.12],K03722
38_79,K08903,photosystem II 13kDa protein,K08903
38_8,K07494,putative transposase,K07494
38_80,K10960,geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase [EC:1.3.1.83 1.3.1.111],K10960
38_81,K05838,putative thioredoxin,K05838
38_82,WP_102219815.1,"methylmalonic aciduria and homocystinuria type D protein, partial",none
38_83,K03636,sulfur-carrier protein,K03636
38_84,K06149,universal stress protein A,K06149
38_85,K19460,EBV latent membrane protein 2A,K19460
38_86,K21662,KSHV FLICE inhibitory protein,K21662
38_87,38_87,,none
38_88,K03644,lipoyl synthase [EC:2.8.1.8],K03644
38_89,38_89,,none
38_9,38_9,,none
38_90,K02339,DNA polymerase III subunit chi [EC:2.7.7.7],K02339
38_91,K13163,male-specific lethal 1,K13163
38_92,WP_016879302.1,hypothetical protein,none
39_1,K12276,MSHA biogenesis protein MshE,K12276
39_10,K09454,"GA-binding protein transcription factor, beta",K09454
39_100,39_100,,none
39_101,K01397,"matrix metalloproteinase-7 (matrilysin, uterine) [EC:3.4.24.23]",K01397
39_102,K07007,"3-dehydro-bile acid Delta4,6-reductase [EC:1.3.1.114]",K07007
39_103,K05584,NAD(P)H-quinone oxidoreductase subunit M [EC:7.1.1.2],K05584
39_104,K01507,inorganic pyrophosphatase [EC:3.6.1.1],K01507
39_105,K00986,RNA-directed DNA polymerase [EC:2.7.7.49],K00986
39_106,39_106,,none
39_107,K07124,uncharacterized protein,K07124
39_108,K11720,lipopolysaccharide export system permease protein,K11720
39_109,K06336,spore coat-associated protein N,K06336
39_11,K02687,ribosomal protein L11 methyltransferase [EC:2.1.1.-],K02687
39_12,K16843,(S)-sulfolactate dehydrogenase [EC:1.1.1.310],K16843
39_13,39_13,,none
39_14,K10843,DNA excision repair protein ERCC-3 [EC:3.6.4.12],K10843
39_15,39_15,,none
39_16,K03555,DNA mismatch repair protein MutS,K03555
39_17,K18923,antitoxin StbD,K18923
39_18,K19092,toxin ParE1/3/4,K19092
39_19,39_19,,none
39_2,39_2,,none
39_20,K19159,antitoxin YefM,K19159
39_21,K06940,uncharacterized protein,K06940
39_22,K03665,GTPase,K03665
39_23,39_23,,none
39_24,39_24,,none
39_25,K08418,G protein-coupled receptor 78,K08418
39_26,K09780,uncharacterized protein,K09780
39_27,K00986,RNA-directed DNA polymerase [EC:2.7.7.49],K00986
39_28,K00986,RNA-directed DNA polymerase [EC:2.7.7.49],K00986
39_29,K06218,mRNA interferase RelE/StbE,K06218
39_3,K13300,cytochrome c550,K13300
39_30,K21039,enterobacteria phage integrase [EC:2.7.7.- 3.1.-.-],K21039
39_31,39_31,,none
39_32,K01890,phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20],K01890
39_33,K22314,glucosinolate gamma-glutamyl hydrolase [EC:3.4.19.16],K22314
39_34,K01889,phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20],K01889
39_35,39_35,,none
39_36,K02237,competence protein ComEA,K02237
39_37,K13408,membrane fusion protein,K13408
39_38,K12887,heterogeneous nuclear ribonucleoprotein M,K12887
39_39,K15736,L-2-hydroxyglutarate oxidase [EC:1.1.5.-],K15736
39_4,K02640,cytochrome b6-f complex subunit 5,K02640
39_40,K07462,single-stranded-DNA-specific exonuclease [EC:3.1.-.-],K07462
39_41,K21430,aldose sugar dehydrogenase [EC:1.1.5.-],K21430
39_42,K06240,"laminin, alpha 3/5",K06240
39_43,K02557,chemotaxis protein MotB,K02557
39_44,K02709,photosystem II PsbH protein,K02709
39_45,K03116,sec-independent protein translocase protein TatA,K03116
39_46,K19416,modulator of FtsH protease,K19416
39_47,K03310,"alanine or glycine:cation symporter, AGCS family",K03310
39_48,39_48,,none
39_49,39_49,,none
39_5,K01951,GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2],K01951
39_50,K18697,phosphatidylglycerophosphatase C [EC:3.1.3.27],K18697
39_51,K00464,"all-trans-8'-apo-beta-carotenal 15,15'-oxygenase [EC:1.13.11.75]",K00464
39_52,39_52,,none
39_53,K03641,TolB protein,K03641
39_54,K03641,TolB protein,K03641
39_55,K00855,phosphoribulokinase [EC:2.7.1.19],K00855
39_56,K02641,ferredoxin--NADP+ reductase [EC:1.18.1.2],K02641
39_57,K16055,trehalose 6-phosphate synthase/phosphatase [EC:2.4.1.15 3.1.3.12],K16055
39_58,K22934,"alpha,alpha-trehalase [EC:3.2.1.28]",K22934
39_59,K07496,putative transposase,K07496
39_6,K07494,putative transposase,K07494
39_60,K02244,competence protein ComGB,K02244
39_61,K02033,peptide/nickel transport system permease protein,K02033
39_62,K06013,STE24 endopeptidase [EC:3.4.24.84],K06013
39_63,39_63,,none
39_64,K02065,phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein,K02065
39_65,K02067,phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein,K02067
39_66,K19609,"two-component system, OmpR family, sensor histidine kinase PfeS [EC:2.7.13.3]",K19609
39_67,K20978,HptB-dependent secretion and biofilm anti anti-sigma factor,K20978
39_68,K19162,hha toxicity modulator TomB,K19162
39_69,K13491,"two-component system, chemotaxis family, response regulator WspF [EC:3.1.1.61]",K13491
39_7,K07494,putative transposase,K07494
39_70,K07315,phosphoserine phosphatase RsbU/P [EC:3.1.3.3],K07315
39_71,K00129,aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5],K00129
39_72,K05540,tRNA-dihydrouridine synthase B [EC:1.-.-.-],K05540
39_73,K07080,uncharacterized protein,K07080
39_74,K07056,16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198],K07056
39_75,K18478,sulfofructose kinase [EC:2.7.1.184],K18478
39_76,K13283,ferrous-iron efflux pump FieF,K13283
39_77,K07679,"two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]",K07679
39_78,K16554,polysaccharide biosynthesis transport protein,K16554
39_79,K03589,cell division protein FtsQ,K03589
39_8,K23550,sialidase [EC:3.2.1.18],K23550
39_80,K03797,carboxyl-terminal processing protease [EC:3.4.21.102],K03797
39_81,K03548,putative permease,K03548
39_82,K10001,glutamate/aspartate transport system substrate-binding protein,K10001
39_83,K00728,dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109],K00728
39_84,K09800,translocation and assembly module TamB,K09800
39_85,K03536,ribonuclease P protein component [EC:3.1.26.5],K03536
39_86,39_86,,none
39_87,K03217,YidC/Oxa1 family membrane protein insertase,K03217
39_88,K06346,spoIIIJ-associated protein,K06346
39_89,K18827,O-antigen chain-terminating methyltransferase [EC:2.1.1.- 2.1.1.294 2.7.1.181],K18827
39_9,K05288,GPI ethanolamine phosphate transferase 3 subunit O [EC:2.7.-.-],K05288
39_90,K01470,creatinine amidohydrolase [EC:3.5.2.10],K01470
39_91,K02851,UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase [EC:2.7.8.33 2.7.8.35],K02851
39_92,K07496,putative transposase,K07496
39_93,K01624,"fructose-bisphosphate aldolase, class II [EC:4.1.2.13]",K01624
39_94,K21001,polysaccharide biosynthesis protein PslH,K21001
39_95,K13195,cold-inducible RNA-binding protein,K13195
39_96,K01711,"GDPmannose 4,6-dehydratase [EC:4.2.1.47]",K01711
39_97,K22844,glucosyl-dolichyl phosphate glucuronosyltransferase [EC:2.4.1.356],K22844
39_98,K21001,polysaccharide biosynthesis protein PslH,K21001
39_99,K22390,acid phosphatase type 7,K22390
4_1,K01062,platelet-activating factor acetylhydrolase [EC:3.1.1.47],K01062
4_10,4_10,,none
4_11,K00754,L-malate glycosyltransferase [EC:2.4.1.-],K00754
4_12,K11724,bromodomain testis-specific protein,K11724
4_13,K05378,phycoerythrin-associated linker protein,K05378
4_14,K05369,"15,16-dihydrobiliverdin:ferredoxin oxidoreductase [EC:1.3.7.2]",K05369
4_15,K05380,phycoerythrin-associated linker protein,K05380
4_16,K07496,putative transposase,K07496
4_17,4_17,,none
4_18,K01255,leucyl aminopeptidase [EC:3.4.11.1],K01255
4_2,4_2,,none
4_3,4_3,,none
4_4,4_4,,none
4_5,K08259,lysostaphin [EC:3.4.24.75],K08259
4_6,K03216,tRNA (cytidine/uridine-2'-O-)-methyltransferase [EC:2.1.1.207],K03216
4_7,K06048,glutamate---cysteine ligase / carboxylate-amine ligase [EC:6.3.2.2 6.3.-.-],K06048
4_8,4_8,,none
4_9,K06373,spore maturation protein A,K06373
40_1,K19896,mucin TcMUCII,K19896
40_10,K07124,uncharacterized protein,K07124
40_2,40_2,,none
40_3,K13582,localization factor PodJL,K13582
40_4,K11654,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 [EC:3.6.4.-],K11654
40_5,WP_017298672.1,SWIM zinc finger family protein,none
40_6,K06858,vitamin B12 transport system substrate-binding protein,K06858
40_7,K02016,iron complex transport system substrate-binding protein,K02016
40_8,K03789,[ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266],K03789
40_9,40_9,,none
41_1,K02290,phycobilisome rod-core linker protein,K02290
41_10,K10696,E3 ubiquitin-protein ligase BRE1 [EC:2.3.2.27],K10696
41_100,K01126,glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46],K01126
41_101,41_101,,none
41_102,41_102,,none
41_103,K07494,putative transposase,K07494
41_104,K07494,putative transposase,K07494
41_105,K07495,putative transposase,K07495
41_106,41_106,,none
41_107,K07004,uncharacterized protein,K07004
41_11,K13163,male-specific lethal 1,K13163
41_12,41_12,,none
41_13,41_13,,none
41_14,K19007,lysophosphatidiate acyltransferase [EC:2.3.1.51],K19007
41_15,K02099,"AraC family transcriptional regulator, arabinose operon regulatory protein",K02099
41_16,41_16,,none
41_17,K08884,"serine/threonine protein kinase, bacterial [EC:2.7.11.1]",K08884
41_18,K08901,photosystem II oxygen-evolving enhancer protein 3,K08901
41_19,K09681,"LysR family transcriptional regulator, transcription activator of glutamate synthase operon",K09681
41_2,K07496,putative transposase,K07496
41_20,K06199,fluoride exporter,K06199
41_21,K13755,"calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase [EC:3.1.4.17]",K13755
41_22,K17589,RB1-inducible coiled-coil protein 1,K17589
41_23,41_23,,none
41_24,K06381,stage II sporulation protein D,K06381
41_25,K07769,"two-component system, OmpR family, sensor histidine kinase NblS [EC:2.7.13.3]",K07769
41_26,K02293,15-cis-phytoene desaturase [EC:1.3.5.5],K02293
41_27,K02291,15-cis-phytoene synthase [EC:2.5.1.32],K02291
41_28,K03526,(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3],K03526
41_29,41_29,,none
41_3,K01992,ABC-2 type transport system permease protein,K01992
41_30,K09454,"GA-binding protein transcription factor, beta",K09454
41_31,K00013,histidinol dehydrogenase [EC:1.1.1.23],K00013
41_32,K08972,putative membrane protein,K08972
41_33,K07424,cytochrome P450 family 3 subfamily A [EC:1.14.14.1],K07424
41_34,K03438,16S rRNA (cytosine1402-N4)-methyltransferase [EC:2.1.1.199],K03438
41_35,41_35,,none
41_36,K07249,retinal dehydrogenase [EC:1.2.1.36],K07249
41_37,41_37,,none
41_38,41_38,,none
41_39,K03592,PmbA protein,K03592
41_4,K03187,urease accessory protein,K03187
41_40,K00558,DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37],K00558
41_41,41_41,,none
41_42,K03700,recombination protein U,K03700
41_43,41_43,,none
41_44,41_44,,none
41_45,K19007,lysophosphatidiate acyltransferase [EC:2.3.1.51],K19007
41_46,41_46,,none
41_47,41_47,,none
41_48,K20693,sphinx [EC:3.4.21.-],K20693
41_49,K09667,protein O-GlcNAc transferase [EC:2.4.1.255],K09667
41_5,K21246,nuclear receptor-binding factor 2,K21246
41_50,41_50,,none
41_51,41_51,,none
41_52,K16568,exopolysaccharide production protein ExoZ,K16568
41_53,K02108,F-type H+-transporting ATPase subunit a,K02108
41_54,K02110,F-type H+-transporting ATPase subunit c,K02110
41_55,K02109,F-type H+-transporting ATPase subunit b,K02109
41_56,K02109,F-type H+-transporting ATPase subunit b,K02109
41_57,K02113,F-type H+-transporting ATPase subunit delta,K02113
41_58,K02111,F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1],K02111
41_59,K02115,F-type H+-transporting ATPase subunit gamma,K02115
41_6,K07546,E-phenylitaconyl-CoA hydratase [EC:4.2.1.-],K07546
41_60,K02095,allophycocyanin-B,K02095
41_61,K03405,magnesium chelatase subunit I [EC:6.6.1.1],K03405
41_62,41_62,,none
41_63,K01759,lactoylglutathione lyase [EC:4.4.1.5],K01759
41_64,K22044,moderate conductance mechanosensitive channel,K22044
41_65,41_65,,none
41_66,WP_002740395.1,MULTISPECIES: MBL fold metallo-hydrolase,none
41_67,K01658,anthranilate synthase component II [EC:4.1.3.27],K01658
41_68,K00887,undecaprenol kinase [EC:2.7.1.66],K00887
41_69,K07042,probable rRNA maturation factor,K07042
