yourlist:M20210906A084FC58F6BBA219896F365D15F2EB441956986	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs
WP_027840252.1	A0A0V7ZP59	A0A0V7ZP59_9CYAN	unreviewed	SagB-type dehydrogenase domain-containing protein	BC008_42745	Mastigocoleus testarum BC008	511	oxidoreductase activity [GO:0016491]	GO:0016491
WP_015226925.1	K9YEZ2	K9YEZ2_HALP7	unreviewed	Photosystem II reaction center protein Ycf12	ycf12 PCC7418_2923	Halothece sp. (strain PCC 7418) (Synechococcus sp. (strain PCC 7418))	43	integral component of membrane [GO:0016021]; photosystem II [GO:0009523]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009523; GO:0015979; GO:0016021; GO:0031676
WP_073633141.1	A0A1Z4IZ30	A0A1Z4IZ30_9CYAN	unreviewed	Transposase	SAMD00079811_48900	Scytonema sp. HK-05	392	DNA binding [GO:0003677]; DNA recombination [GO:0006310]; transposition [GO:0032196]	GO:0003677; GO:0006310; GO:0032196
WP_015216820.1	K9ZN61	K9ZN61_ANACC	unreviewed	DNA sulfur modification protein DndE	Anacy_4861	Anabaena cylindrica (strain ATCC 27899 / PCC 7122)	131		
WP_073598954.1	A0A1U7HLK5	A0A1U7HLK5_9CYAN	unreviewed	Oxidoreductase	NIES593_07290	Hydrococcus rivularis NIES-593	378	nucleotide binding [GO:0000166]	GO:0000166
WP_075601067.1	A0A1Q8Z6D8	A0A1Q8Z6D8_9CYAN	unreviewed	Uncharacterized protein	BST81_24050	Leptolyngbya sp. 'hensonii'	88		
WP_015149240.1	K9TKQ8	K9TKQ8_9CYAN	unreviewed	Uma2 domain-containing protein	Oscil6304_3008	Oscillatoria acuminata PCC 6304	185		
WP_015192376.1	K9XQB0	K9XQB0_STAC7	unreviewed	Peptidase domain protein	Sta7437_1130	Stanieria cyanosphaera (strain ATCC 29371 / PCC 7437)	155		
WP_075903486.1	A0A1U7N7L2	A0A1U7N7L2_9CYAN	unreviewed	Uncharacterized protein	BJP37_25800	Moorea bouillonii PNG	150		
WP_016878616.1	A0A3S0ZYD6	A0A3S0ZYD6_CHLFR	unreviewed	Nitroreductase domain-containing protein	PCC6912_28380	Chlorogloeopsis fritschii PCC 6912	201	oxidoreductase activity [GO:0016491]	GO:0016491
WP_019963617.1	A0A378ZQJ9	A0A378ZQJ9_9RHOB	unreviewed	"Anthranilate 1,2-dioxygenase, large subunit"	NCTC13350_00325	Pannonibacter phragmitetus	352	"2 iron, 2 sulfur cluster binding [GO:0051537]; dioxygenase activity [GO:0051213]; metal ion binding [GO:0046872]"	GO:0046872; GO:0051213; GO:0051537
WP_015954081.1	B7KF19	ARGC_GLOC7	reviewed	N-acetyl-gamma-glutamyl-phosphate reductase (AGPR) (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase) (NAGSA dehydrogenase)	argC PCC7424_2047	Gloeothece citriformis (strain PCC 7424) (Cyanothece sp. (strain PCC 7424))	352	cytoplasm [GO:0005737]; N-acetyl-gamma-glutamyl-phosphate reductase activity [GO:0003942]; NAD binding [GO:0051287]; protein dimerization activity [GO:0046983]; arginine biosynthetic process [GO:0006526]	GO:0003942; GO:0005737; GO:0006526; GO:0046983; GO:0051287
WP_071107827.1	A0A1D9GAR5	A0A1D9GAR5_9CYAN	unreviewed	Recombinase B	BJP36_16315	Moorea producens JHB	518		
WP_006106163.1	B4W438	B4W438_9CYAN	unreviewed	SWIM zinc finger domain protein	MC7420_6667	Coleofasciculus chthonoplastes PCC 7420	287	zinc ion binding [GO:0008270]	GO:0008270
WP_002755148.1	A0A5D5B8U6	A0A5D5B8U6_MICAE	unreviewed	Uncharacterized protein	FXO09_19535	Microcystis aeruginosa KLA2	265	protein transport [GO:0015031]	GO:0015031
WP_002755148.1	S3ITQ6	S3ITQ6_MICAE	unreviewed	Tic22 family-like protein	MAESPC_05101	Microcystis aeruginosa SPC777	265	protein transport [GO:0015031]	GO:0015031
WP_013325485.1	E0UB92	E0UB92_GLOV7	unreviewed	Imidazoleglycerol-phosphate dehydratase (IGPD) (EC 4.2.1.19)	hisB Cyan7822_5576	Gloeothece verrucosa (strain PCC 7822) (Cyanothece sp. (strain PCC 7822))	214	cytoplasm [GO:0005737]; imidazoleglycerol-phosphate dehydratase activity [GO:0004424]; histidine biosynthetic process [GO:0000105]	GO:0000105; GO:0004424; GO:0005737
WP_002789927.1	I4HCT1	I4HCT1_MICAE	unreviewed	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase)	hisC MICAF_5610003	Microcystis aeruginosa PCC 9807	348	histidinol-phosphate transaminase activity [GO:0004400]; pyridoxal phosphate binding [GO:0030170]; histidine biosynthetic process [GO:0000105]	GO:0000105; GO:0004400; GO:0030170
WP_015142485.1	K9SZX0	K9SZX0_9CYAN	unreviewed	Deoxyribose-phosphate aldolase (DERA) (EC 4.1.2.4) (2-deoxy-D-ribose 5-phosphate aldolase) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase)	deoC Ple7327_0747	Pleurocapsa sp. PCC 7327	238	cytoplasm [GO:0005737]; deoxyribose-phosphate aldolase activity [GO:0004139]; carbohydrate catabolic process [GO:0016052]; deoxyribonucleotide catabolic process [GO:0009264]; deoxyribose phosphate catabolic process [GO:0046386]	GO:0004139; GO:0005737; GO:0009264; GO:0016052; GO:0046386
WP_002764933.1	A0A0A1VSL2	A0A0A1VSL2_MICAE	unreviewed	NYN domain-containing protein	N44_00961	Microcystis aeruginosa NIES-44	183		
WP_002764933.1	A0A0K1RVT5	A0A0K1RVT5_9CHRO	unreviewed	NYN domain-containing protein	VL20_666	Microcystis panniformis FACHB-1757	183		
WP_002764933.1	A0A139GQH1	A0A139GQH1_MICA8	unreviewed	NYN domain-containing protein	OA58_02325	Microcystis aeruginosa (strain NIES-88)	183		
WP_002764933.1	A0A1V4BXT2	A0A1V4BXT2_MICAE	unreviewed	NYN domain-containing protein	B1L04_08170	Microcystis aeruginosa KW	183		
WP_002764933.1	A0A1X9L0Y1	A0A1X9L0Y1_MICAE	unreviewed	NYN domain-containing protein	BH695_0364	Microcystis aeruginosa PCC 7806SL	183		
WP_002764933.1	A0A3G9JJ52	A0A3G9JJ52_MICVR	unreviewed	NYN domain-containing protein	myaer102_31290	Microcystis viridis NIES-102	183		
WP_002764933.1	A0A510PCT2	A0A510PCT2_MICAE	unreviewed	NYN domain-containing protein	MAE30S32_01920	Microcystis aeruginosa 11-30S32	183		
WP_002764933.1	A0A5A5REM4	A0A5A5REM4_MICAE	unreviewed	NYN domain-containing protein	MiTe_01345	Microcystis aeruginosa NIES-2520	183		
WP_002764933.1	A0A5J5LR39	A0A5J5LR39_MICAE	unreviewed	NYN domain-containing protein	EZJ55_03730	Microcystis aeruginosa EAWAG127a	183		
WP_002764933.1	A0A6H9GEQ5	A0A6H9GEQ5_MICAE	unreviewed	NYN domain-containing protein	NIES3804_07610	Microcystis aeruginosa NIES-3804	183		
WP_002764933.1	A0A6H9GLR8	A0A6H9GLR8_MICAE	unreviewed	NYN domain-containing protein	NIES3787_27820	Microcystis aeruginosa NIES-3787	183		
WP_002764933.1	A0A6H9H5Z0	A0A6H9H5Z0_MICAE	unreviewed	NYN domain-containing protein	NIES3806_15790	Microcystis aeruginosa NIES-3806	183		
WP_002764933.1	B0JJ15	B0JJ15_MICAN	unreviewed	NYN domain-containing protein	MAE_59010	Microcystis aeruginosa (strain NIES-843)	183		
WP_002764933.1	I4G4W2	I4G4W2_MICAE	unreviewed	"Genome sequencing data, contig C327"	MICAC_400003	Microcystis aeruginosa PCC 9443	183		
WP_002764933.1	I4H3U3	I4H3U3_MICAE	unreviewed	"Genome sequencing data, contig C327"	MICAE_960034	Microcystis aeruginosa PCC 9806	183		
WP_002764933.1	I4HNN9	I4HNN9_MICAE	unreviewed	"Genome sequencing data, contig C327"	MICAH_2430015	Microcystis aeruginosa PCC 9809	183		
WP_007308501.1	Q4BUT0	Q4BUT0_CROWT	unreviewed	3-mercaptopyruvate sulfurtransferase (EC 2.8.1.2)	CwatDRAFT_0390	Crocosphaera watsonii WH 8501	276	3-mercaptopyruvate sulfurtransferase activity [GO:0016784]; thiosulfate sulfurtransferase activity [GO:0004792]	GO:0004792; GO:0016784
WP_012595160.1	B7JXS4	B7JXS4_RIPO1	unreviewed	"Putative anti-sigma regulatory factor, serine/threonine protein kinase"	PCC8801_1845	Rippkaea orientalis (strain PCC 8801) (Cyanothece sp. (strain PCC 8801))	133	protein serine/threonine kinase activity [GO:0004674]	GO:0004674
WP_006102059.1	B4VTT1	B4VTT1_9CYAN	unreviewed	Stage II sporulation protein E	MC7420_6204	Coleofasciculus chthonoplastes PCC 7420	379	phosphatase activity [GO:0016791]; phosphorelay signal transduction system [GO:0000160]	GO:0000160; GO:0016791
WP_008197840.1	A0A2P1UEE6	A0A2P1UEE6_9CHRO	unreviewed	GUN4 domain-containing protein	B5D77_08245	Microcystis sp. MC19	200		
WP_008197840.1	I4I9K3	I4I9K3_9CHRO	unreviewed	Periplasmic protein	MICAI_1540025	Microcystis sp. T1-4	200		
WP_002774544.1	I4GPI7	I4GPI7_MICAE	unreviewed	"NAD(P)H-quinone oxidoreductase subunit 5, organellar chromatophore 2 (EC 1.6.5.-)"	ndhF MICAD_910001	Microcystis aeruginosa PCC 7941	632	integral component of membrane [GO:0016021]; oxidoreductase activity [GO:0016491]; quinone binding [GO:0048038]	GO:0016021; GO:0016491; GO:0048038
WP_004162217.1	I4HSS3	I4HSS3_MICAE	unreviewed	Similar to tr|Q8XGK0|Q8XGK0	MICAG_270008	Microcystis aeruginosa PCC 9808	599	integral component of membrane [GO:0016021]	GO:0016021
WP_008277827.1	A3IWS0	A3IWS0_9CHRO	unreviewed	Transposase	CY0110_08691	Crocosphaera chwakensis CCY0110	171		
WP_046662269.1	A0A0F6U4F5	A0A0F6U4F5_MICAE	unreviewed	"TldD protein, part of TldE/TldD proteolytic complex"	MYAER_2453	Microcystis aeruginosa NIES-2549	467	metallopeptidase activity [GO:0008237]	GO:0008237
WP_002784220.1	A0A0A1VQV0	A0A0A1VQV0_MICAE	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL N44_02374	Microcystis aeruginosa NIES-44	560	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082
WP_002784220.1	A0A2H6L2F1	A0A2H6L2F1_MICAE	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groEL2 groEL groL myaer87_14770	Microcystis aeruginosa NIES-87	560	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082
WP_002784220.1	A0A6H9GYD3	A0A6H9GYD3_MICAE	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groEL2 groEL groL NIES3804_23670	Microcystis aeruginosa NIES-3804	560	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082
WP_002784220.1	I4GVI9	I4GVI9_MICAE	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL MICAE_2150025	Microcystis aeruginosa PCC 9806	560	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082
WP_069969079.1	A0A1E5QF52	A0A1E5QF52_9CYAN	unreviewed	Putative N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9) (ManNAc-6-P epimerase)	nanE BH720_20485	Desertifilum sp. IPPAS B-1220	220	N-acylglucosamine-6-phosphate 2-epimerase activity [GO:0047465]; N-acylmannosamine-6-phosphate 2-epimerase activity [GO:0009385]; carbohydrate metabolic process [GO:0005975]; N-acetylmannosamine metabolic process [GO:0006051]; N-acetylneuraminate catabolic process [GO:0019262]	GO:0005975; GO:0006051; GO:0009385; GO:0019262; GO:0047465
WP_012180248.1	A8LQ85	A8LQ85_DINSH	unreviewed	Cadherin domain-containing protein	Dshi_3592	Dinoroseobacter shibae (strain DSM 16493 / NCIMB 14021 / DFL 12)	1727	membrane [GO:0016020]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	GO:0005509; GO:0007156; GO:0016020
WP_007309940.1	G5J1Z0	G5J1Z0_CROWT	unreviewed	Superfamily I DNA and RNA helicase and helicase subunits	CWATWH0003_1521	Crocosphaera watsonii WH 0003	976	helicase activity [GO:0004386]	GO:0004386
WP_007309940.1	T2J1E7	T2J1E7_CROWT	unreviewed	Superfamily I DNA and RNA helicases and helicase subunits-like	CWATWH0005_3462	Crocosphaera watsonii WH 0005	976	helicase activity [GO:0004386]	GO:0004386
WP_006518930.1	K9EM83	K9EM83_9CYAN	unreviewed	Putative flavoprotein involved in K+ transport	Lepto7375DRAFT_6996	Leptolyngbya sp. PCC 7375	374		
WP_002759655.1	I4FNH8	I4FNH8_MICAE	unreviewed	"Zeta-carotene desaturase (EC 1.3.5.6) (9,9'-di-cis-zeta-carotene desaturase)"	crtQ MICAB_3050019	Microcystis aeruginosa PCC 9717	486	"7,9,9'-tricis-neurosporene:quinone oxidoreductase activity [GO:0052887]; 9,9'-dicis-carotene:quinone oxidoreductase activity [GO:0052886]; carotene 7,8-desaturase activity [GO:0016719]; carotenoid biosynthetic process [GO:0016117]"	GO:0016117; GO:0016719; GO:0052886; GO:0052887
WP_007309439.1	G5J058	G5J058_CROWT	unreviewed	Haloacid dehalogenase/epoxide hydrolase family	CWATWH0003_0895	Crocosphaera watsonii WH 0003	245	hydrolase activity [GO:0016787]	GO:0016787
WP_007309439.1	T2J209	T2J209_CROWT	unreviewed	Haloacid dehalogenase/epoxide hydrolase family	CWATWH0005_4069	Crocosphaera watsonii WH 0005	245	hydrolase activity [GO:0016787]	GO:0016787
WP_007309439.1	T2JMC5	T2JMC5_CROWT	unreviewed	Haloacid dehalogenase/epoxide hydrolase family	CWATWH0402_3009	Crocosphaera watsonii WH 0402	245	hydrolase activity [GO:0016787]	GO:0016787
WP_073595483.1	A0A1U7IEF7	A0A1U7IEF7_9CYAN	unreviewed	SAM-dependent methyltransferase	NIES2119_21140	Phormidium ambiguum IAM M-71	396	methyltransferase activity [GO:0008168]; methylation [GO:0032259]	GO:0008168; GO:0032259
WP_007305460.1	Q4C403	Q4C403_CROWT	unreviewed	Uma2 domain-containing protein	CwatDRAFT_3937	Crocosphaera watsonii WH 8501	214		
WP_011610656.1	Q117Q9	Q117Q9_TRIEI	unreviewed	CHAT domain-containing protein	Tery_0857	Trichodesmium erythraeum (strain IMS101)	532	integral component of membrane [GO:0016021]	GO:0016021
WP_008183051.1	F4XQP1	F4XQP1_9CYAN	unreviewed	Cell division topological specificity factor	minE LYNGBM3L_53910	Moorea producens 3L	105	cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of division septum assembly [GO:0032955]	GO:0007049; GO:0032955; GO:0051301
WP_045358794.1	A0A0A1VTH7	A0A0A1VTH7_MICAE	unreviewed	Probable septum site-determining protein MinC	minC N44_01809	Microcystis aeruginosa NIES-44	275	cell morphogenesis [GO:0000902]; division septum assembly [GO:0000917]; regulation of cell septum assembly [GO:1901891]	GO:0000902; GO:0000917; GO:1901891
WP_000373973.1	A0A2S5BS58	A0A2S5BS58_ACIBA	unreviewed	Uncharacterized protein	AXK18_03550 B7L35_07340 B9W69_05580 CBL15_13685 CK824_13760 DVA69_04580 E2538_18180 FDF39_11490	Acinetobacter baumannii	237		
WP_000373973.1	A0A372I6Q2	A0A372I6Q2_9GAMM	unreviewed	Uncharacterized protein	D0529_04445	Acinetobacter sp. S131434	237		
WP_032525907.1	A0A0A2A9S9	A0A0A2A9S9_PROMR	unreviewed	30S ribosomal protein S10	rpsJ rps10 EU96_0279	Prochlorococcus marinus str. MIT 9302	106	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]	GO:0000049; GO:0003735; GO:0005840; GO:0006412
WP_006530855.1	L8LJ50	L8LJ50_9CHRO	unreviewed	Elongation factor G (EF-G)	fusA GLO73106DRAFT_00000180	Gloeocapsa sp. PCC 73106	691	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]	GO:0003746; GO:0003924; GO:0005525; GO:0005737
WP_070395553.1	A0A1D8U035	A0A1D8U035_9CYAN	unreviewed	Uma2 domain-containing protein	BJP34_30310	Moorea producens PAL-8-15-08-1	195		
WP_070395553.1	A0A1U7N8M7	A0A1U7N8M7_9CYAN	unreviewed	Uma2 domain-containing protein	BJP37_27910	Moorea bouillonii PNG	195		
WP_007312544.1	G5JB90	G5JB90_CROWT	unreviewed	Uncharacterized protein	CWATWH0003_4704	Crocosphaera watsonii WH 0003	170	integral component of membrane [GO:0016021]	GO:0016021
WP_007312544.1	T2IYH2	T2IYH2_CROWT	unreviewed	Uncharacterized protein	CWATWH0005_3190	Crocosphaera watsonii WH 0005	170	integral component of membrane [GO:0016021]	GO:0016021
WP_007312544.1	T2JK94	T2JK94_CROWT	unreviewed	Uncharacterized protein	CWATWH0402_678	Crocosphaera watsonii WH 0402	170	integral component of membrane [GO:0016021]	GO:0016021
WP_002771116.1	I4G8Z3	I4G8Z3_MICAE	unreviewed	RuBisCO accumulation factor 1	MICAC_5570002	Microcystis aeruginosa PCC 9443	359	carbon fixation [GO:0015977]	GO:0015977
WP_008275785.1	A3IQX0	A3IQX0_9CHRO	unreviewed	Uncharacterized protein	CY0110_12947	Crocosphaera chwakensis CCY0110	151		
WP_006620601.1	A0A6H2ALF7	A0A6H2ALF7_LIMFS	unreviewed	Cytosine deaminase (EC 3.5.4.1)	HFV01_18685	Limnospira fusiformis SAG 85.79	448	5-fluorocytosine deaminase activity [GO:0102480]; cytosine deaminase activity [GO:0004131]	GO:0004131; GO:0102480
WP_006620601.1	B5W299	B5W299_LIMMA	unreviewed	Amidohydrolase 3	AmaxDRAFT_2897	Arthrospira maxima CS-328	448	"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]"	GO:0016810
WP_006620601.1	K1WEL4	K1WEL4_ARTPT	unreviewed	Amidohydrolase 3	SPLC1_S030460	Arthrospira platensis C1	448	"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]"	GO:0016810
WP_008197138.1	I4I8P4	I4I8P4_9CHRO	unreviewed	GTP-binding protein	MICAI_1320010	Microcystis sp. T1-4	522	integral component of membrane [GO:0016021]; GTP binding [GO:0005525]	GO:0005525; GO:0016021
WP_035157864.1	A0A0T7BY92	A0A0T7BY92_9CYAN	unreviewed	Uncharacterized protein	IJ00_24670	Calothrix sp. 336/3	246		
WP_008275522.1	A3IQ57	A3IQ57_9CHRO	unreviewed	Beta sliding clamp	CY0110_05487	Crocosphaera chwakensis CCY0110	393	cytoplasm [GO:0005737]; DNA polymerase III complex [GO:0009360]; 3'-5' exonuclease activity [GO:0008408]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; DNA replication [GO:0006260]	GO:0003677; GO:0003887; GO:0005737; GO:0006260; GO:0008408; GO:0009360
WP_006509784.1	L8M1N1	L8M1N1_9CYAN	unreviewed	Uncharacterized protein	Xen7305DRAFT_00028130	Xenococcus sp. PCC 7305	154		
WP_073609630.1	A0A1U7J2K4	A0A1U7J2K4_9CYAN	unreviewed	50S ribosomal protein L22	rplV rpl22 NIES30_17040	Phormidium tenue NIES-30	118	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015934; GO:0019843
WP_015195225.1	K9XZN5	K9XZN5_STAC7	unreviewed	50S ribosomal protein L29	rpmC rpl29 Sta7437_4094	Stanieria cyanosphaera (strain ATCC 29371 / PCC 7437)	71	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412
WP_015218388.1	A0A2G3PA19	A0A2G3PA19_9CHRO	unreviewed	50S ribosomal protein L14	rplN rpl14 CSQ80_09530	Cyanobacterium aponinum IPPAS B-1201	122	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015934; GO:0019843
WP_015218388.1	K9Z1Q6	K9Z1Q6_CYAAP	unreviewed	50S ribosomal protein L14	rplN rpl14 Cyan10605_0515	Cyanobacterium aponinum (strain PCC 10605)	122	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015934; GO:0019843
WP_009543885.1	B1WQS3	B1WQS3_CROS5	unreviewed	50S ribosomal protein L5	rplE rpl5 cce_4027	Crocosphaera subtropica (strain ATCC 51142 / BH68) (Cyanothece sp. (strain ATCC 51142))	181	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]	GO:0000049; GO:0003735; GO:0005840; GO:0006412; GO:0019843
WP_007311594.1	G5J7X9	G5J7X9_CROWT	unreviewed	50S ribosomal protein L15	rplO CWATWH0003_3565	Crocosphaera watsonii WH 0003	158	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015934; GO:0019843
WP_007311594.1	T2IVV9	T2IVV9_CROWT	unreviewed	50S ribosomal protein L15	rplO CWATWH0005_485	Crocosphaera watsonii WH 0005	158	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015934; GO:0019843
WP_007311594.1	T2JJA8	T2JJA8_CROWT	unreviewed	50S ribosomal protein L15	rplO CWATWH0402_3644	Crocosphaera watsonii WH 0402	158	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015934; GO:0019843
WP_002801926.1	I4IMV7	I4IMV7_MICAE	unreviewed	Protein translocase subunit SecY	secY MICAK_1760025	Microcystis aeruginosa PCC 9701	439	integral component of membrane [GO:0016021]; plasma membrane-derived thylakoid membrane [GO:0031676]; intracellular protein transmembrane transport [GO:0065002]; protein targeting [GO:0006605]; protein transport by the Sec complex [GO:0043952]	GO:0006605; GO:0016021; GO:0031676; GO:0043952; GO:0065002
WP_012954410.1	D3EQH3	D3EQH3_ATETH	unreviewed	30S ribosomal protein S13	rpsM rps13 UCYN_10480	Atelocyanobacterium thalassa (isolate ALOHA)	127	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]	GO:0000049; GO:0003735; GO:0005840; GO:0006412; GO:0019843
WP_015186057.1	K9WNE5	K9WNE5_9CYAN	unreviewed	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)	rpoA Mic7113_6343	Microcoleus sp. PCC 7113	322	"DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; protein dimerization activity [GO:0046983]; transcription, DNA-templated [GO:0006351]"	GO:0003677; GO:0003899; GO:0006351; GO:0046983
WP_015136269.1	K9Q6Z8	K9Q6Z8_9CYAN	unreviewed	50S ribosomal protein L31	rpmE rpl31 Lepto7376_4454	Leptolyngbya sp. PCC 7376	76	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0019843
WP_016868961.1	A0A2N6JVY2	A0A2N6JVY2_FISMU	unreviewed	Glyoxalase	CEN44_25985	Fischerella muscicola CCMEE 5323	119	lactoylglutathione lyase activity [GO:0004462]; metal ion binding [GO:0046872]	GO:0004462; GO:0046872
WP_007309920.1	G5J1W5	G5J1W5_CROWT	unreviewed	Uncharacterized protein	CWATWH0003_1496	Crocosphaera watsonii WH 0003	383	integral component of membrane [GO:0016021]	GO:0016021
WP_007309920.1	T2J0W2	T2J0W2_CROWT	unreviewed	Uncharacterized protein	CWATWH0005_572	Crocosphaera watsonii WH 0005	383	integral component of membrane [GO:0016021]	GO:0016021
WP_007309920.1	T2JTD1	T2JTD1_CROWT	unreviewed	Uncharacterized protein	CWATWH0402_3061	Crocosphaera watsonii WH 0402	383	integral component of membrane [GO:0016021]	GO:0016021
WP_058805179.1	A0A0W1C7W5	A0A0W1C7W5_9SPHN	unreviewed	Transcriptional regulator	ATE71_20435	Sphingopyxis sp. H115	394	DNA binding [GO:0003677]	GO:0003677
WP_072379781.1	A0A1H8TFX0	A0A1H8TFX0_9RHIZ	unreviewed	Putative transcriptional regulator	RTCCBAU85039_5189	Rhizobium tibeticum	394	DNA binding [GO:0003677]	GO:0003677
WP_002775266.1	A0A2H6BTV9	A0A2H6BTV9_MICAE	unreviewed	Circadian clock protein kinase KaiC (EC 2.7.11.1)	kaiC NIES298_38420	Microcystis aeruginosa NIES-298	520	"ATP binding [GO:0005524]; DNA binding [GO:0003677]; magnesium ion binding [GO:0000287]; protein serine kinase activity [GO:0106310]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein threonine kinase activity [GO:0106311]; circadian rhythm [GO:0007623]; regulation of circadian rhythm [GO:0042752]; regulation of transcription, DNA-templated [GO:0006355]"	GO:0000287; GO:0003677; GO:0004712; GO:0005524; GO:0006355; GO:0007623; GO:0042752; GO:0106310; GO:0106311
WP_002775266.1	I4GD04	I4GD04_MICAE	unreviewed	Circadian clock protein kinase KaiC (EC 2.7.11.1)	kaiC MICAD_1340004	Microcystis aeruginosa PCC 7941	520	"ATP binding [GO:0005524]; DNA binding [GO:0003677]; magnesium ion binding [GO:0000287]; protein serine kinase activity [GO:0106310]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein threonine kinase activity [GO:0106311]; circadian rhythm [GO:0007623]; regulation of circadian rhythm [GO:0042752]; regulation of transcription, DNA-templated [GO:0006355]"	GO:0000287; GO:0003677; GO:0004712; GO:0005524; GO:0006355; GO:0007623; GO:0042752; GO:0106310; GO:0106311
WP_002775266.1	S3KIH7	S3KIH7_MICAE	unreviewed	Circadian clock protein kinase KaiC (EC 2.7.11.1)	kaiC MAESPC_00551	Microcystis aeruginosa SPC777	520	"ATP binding [GO:0005524]; DNA binding [GO:0003677]; magnesium ion binding [GO:0000287]; protein serine kinase activity [GO:0106310]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein threonine kinase activity [GO:0106311]; circadian rhythm [GO:0007623]; regulation of circadian rhythm [GO:0042752]; regulation of transcription, DNA-templated [GO:0006355]"	GO:0000287; GO:0003677; GO:0004712; GO:0005524; GO:0006355; GO:0007623; GO:0042752; GO:0106310; GO:0106311
WP_052276077.1	A0A0K1RYL3	A0A0K1RYL3_9CHRO	unreviewed	Circadian clock protein KaiA	VL20_1763	Microcystis panniformis FACHB-1757	309	circadian rhythm [GO:0007623]; protein phosphorylation [GO:0006468]	GO:0006468; GO:0007623
