"","id","description","length","eValue","bitscore","simMean","GO_IDs","GO_terms","gene_id","gene_name","KO"
"1752","41_55","WP_196527109.1",138,4.5e-25,98.2,81.16,"GO:0015986;GO:0015078;GO:0045263","ATP synthesis coupled proton transport; proton transmembrane transporter activity; proton-transporting ATP synthase complex, coupling factor F(o)","K02109","F-type H+-transporting ATPase subunit b","K02109"
"1753","41_56","WP_002793187.1",178,9.99e-39,135,74.16,"GO:0015986;GO:0015078;GO:0042651;GO:0045263;GO:0016021;GO:0031676;GO:0046933","ATP synthesis coupled proton transport; proton transmembrane transporter activity; thylakoid membrane; proton-transporting ATP synthase complex, coupling factor F(o);integral component of membrane;plasma membrane-derived thylakoid membrane;proton-transporting ATP synthase complex, coupling factor F(o);proton-transporting ATP synthase activity, rotational mechanism","K02109","F-type H+-transporting ATPase subunit b","K02109"
"1754","41_56","WP_002793187.1",178,9.99e-39,135,74.16,"GO:0015986;GO:0015078;GO:0042651;GO:0045263;GO:0016021;GO:0031676;GO:0046933","ATP synthesis coupled proton transport; proton transmembrane transporter activity; thylakoid membrane; proton-transporting ATP synthase complex, coupling factor F(o);integral component of membrane;plasma membrane-derived thylakoid membrane;proton-transporting ATP synthase complex, coupling factor F(o);proton-transporting ATP synthase activity, rotational mechanism","K02109","F-type H+-transporting ATPase subunit b","K02109"
"1755","41_56","WP_002793187.1",178,9.99e-39,135,74.16,"GO:0015986;GO:0015078;GO:0042651;GO:0045263;GO:0016021;GO:0031676;GO:0046933","ATP synthesis coupled proton transport; proton transmembrane transporter activity; thylakoid membrane; proton-transporting ATP synthase complex, coupling factor F(o);integral component of membrane;plasma membrane-derived thylakoid membrane;proton-transporting ATP synthase complex, coupling factor F(o);proton-transporting ATP synthase activity, rotational mechanism","K02109","F-type H+-transporting ATPase subunit b","K02109"
"1756","41_56","WP_002793187.1",178,9.99e-39,135,74.16,"GO:0015986;GO:0015078;GO:0042651;GO:0045263;GO:0016021;GO:0031676;GO:0046933","ATP synthesis coupled proton transport; proton transmembrane transporter activity; thylakoid membrane; proton-transporting ATP synthase complex, coupling factor F(o);integral component of membrane;plasma membrane-derived thylakoid membrane;proton-transporting ATP synthase complex, coupling factor F(o);proton-transporting ATP synthase activity, rotational mechanism","K02109","F-type H+-transporting ATPase subunit b","K02109"
"1757","41_56","WP_002793187.1",178,9.99e-39,135,74.16,"GO:0015986;GO:0015078;GO:0042651;GO:0045263;GO:0016021;GO:0031676;GO:0046933","ATP synthesis coupled proton transport; proton transmembrane transporter activity; thylakoid membrane; proton-transporting ATP synthase complex, coupling factor F(o);integral component of membrane;plasma membrane-derived thylakoid membrane;proton-transporting ATP synthase complex, coupling factor F(o);proton-transporting ATP synthase activity, rotational mechanism","K02109","F-type H+-transporting ATPase subunit b","K02109"
"1758","41_57","NEO84802.1",181,2.8e-63,198,75.69,"GO:0015986;GO:0046933","ATP synthesis coupled proton transport; proton-transporting ATP synthase activity, rotational mechanism","K02113","F-type H+-transporting ATPase subunit delta","K02113"
"1759","41_58","WP_107670850.1",503,0,909,98.21,"GO:0015986;GO:0005524;GO:0046933;GO:0045261;GO:0046034;GO:1902600;GO:0032559","ATP synthesis coupled proton transport; ATP binding; proton-transporting ATP synthase activity, rotational mechanism; proton-transporting ATP synthase complex, catalytic core F(1); ATP metabolic process; proton transmembrane transport; adenyl ribonucleotide binding","K02111","F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]","K02111"
"1760","41_59","WP_162421515.1",314,1.78e-154,439,85.67,"GO:0015986;GO:0046933;GO:0045261","ATP synthesis coupled proton transport; proton-transporting ATP synthase activity, rotational mechanism; proton-transporting ATP synthase complex, catalytic core F(1)","K02115","F-type H+-transporting ATPase subunit gamma","K02115"
"1761","41_60","WP_193196581.1",189,5.73e-76,231,75.66,"GO:0015979;GO:0030089","photosynthesis; phycobilisome","K02095","allophycocyanin-B","K02095"
"1762","41_61","MBW4621024.1",355,7.64e-218,604,92.11,"GO:0015995;GO:0005524;GO:0016851","chlorophyll biosynthetic process; ATP binding; magnesium chelatase activity","K03405","magnesium chelatase subunit I [EC:6.6.1.1]","K03405"
"1763","41_63","WP_190444943.1",142,1.36e-83,246,93.66,"GO:0004462;GO:0046872","lactoylglutathione lyase activity; metal ion binding","K01759","lactoylglutathione lyase [EC:4.4.1.5]","K01759"
"1764","41_64","WP_096552513.1",63,6.64e-21,89.7,76.19,"GO:0016020","membrane","K22044","moderate conductance mechanosensitive channel","K22044"
"1765","41_66","WP_002740395.1",227,6.8e-112,327,82.38,"GO:0016787","hydrolase activity","WP_002740395.1","MULTISPECIES: MBL fold metallo-hydrolase","none"
"1766","41_66","WP_002740395.1",227,6.8e-112,327,82.38,"GO:0016787","hydrolase activity","WP_002740395.1","MULTISPECIES: MBL fold metallo-hydrolase","none"
"1767","41_68","WP_202804298.1",131,4.83e-51,165,84.73,"GO:0008654;GO:0016301;GO:0016020;GO:0008610","phospholipid biosynthetic process; kinase activity; membrane;lipid biosynthetic process; phospholipid biosynthetic process","K00887","undecaprenol kinase [EC:2.7.1.66]","K00887"
"1768","41_69","WP_135105840.1",171,1.94e-59,187,73.1,"GO:0006364;GO:0004222","rRNA processing; metalloendopeptidase activity","K07042","probable rRNA maturation factor","K07042"
"1769","41_70","PZV24197.1",45,3.56e-15,67.4,84.44,"GO:0016020;GO:0016021","membrane; integral component of membrane;integral component of membrane","PZV24197.1","DUF3285 domain-containing protein","none"
"1770","41_71","KPQ38906.1",393,2.01e-169,485,75.83,"GO:0008610;GO:0005506;GO:0016491","lipid biosynthetic process; iron ion binding; oxidoreductase activity;oxidoreductase activity","K20024","monoglucosyldiacylglycerol epimerase [EC:5.1.3.34]","K20024"
"1771","41_73","WP_190383049.1",219,3.43e-39,154,56.16,"GO:0005515","protein binding","K23424","protein O-mannosyl-transferase [EC:2.4.1.-]","K23424"
"1772","41_74","WP_024971057.1",358,1.86e-46,184,52.79,"GO:0005515","protein binding","K03353","anaphase-promoting complex subunit 6","K03353"
"1773","41_79","BAP18489.1",151,1.56e-60,189,77.48,"GO:0005975;GO:0000166;GO:0016301;GO:0005524;GO:0046316","carbohydrate metabolic process; nucleotide binding; kinase activity;ATP binding;gluconokinase activity","K00851","gluconokinase [EC:2.7.1.12]","K00851"
"1774","41_81","NES99643.1",750,0,1114,84.4,"GO:0006355;GO:0007165;GO:0009584;GO:0018298;GO:0000155;GO:0005515","regulation of transcription, DNA-templated; signal transduction; detection of visible light; protein-chromophore linkage; phosphorelay sensor kinase activity; protein binding","K11354","two-component system, chemotaxis family, sensor kinase Cph1 [EC:2.7.13.3]","K11354"
"1775","41_82","WP_148766114.1",137,8.21e-62,191,81.02,"GO:0000160","phosphorelay signal transduction system","K11355","two-component system, chemotaxis family, response regulator Rcp1","K11355"
"1776","41_88","WP_045867857.1",316,7.59e-150,428,76.58,"GO:0008168;GO:0032259","methyltransferase activity;methylation","K03183","demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]","K03183"
"1777","41_88","WP_045867857.1",316,7.59e-150,428,76.58,"GO:0008168","methyltransferase activity","K03183","demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]","K03183"
"1778","41_90","WP_214437053.1",379,5.51e-129,381,70.71,"GO:0016491","oxidoreductase activity","K00303","sarcosine oxidase, subunit beta [EC:1.5.3.1]","K00303"
"1779","41_91","PSO79146.1",214,4.4e-100,294,79.44,"GO:0030488;GO:0003723;GO:0009020;GO:0006396;GO:0008168;GO:0008173","tRNA methylation; RNA binding; tRNA (guanosine-2'-O-)-methyltransferase activity;RNA processing; tRNA methylation; methyltransferase activity; RNA methyltransferase activity","K00556","tRNA (guanosine-2'-O-)-methyltransferase [EC:2.1.1.34]","K00556"
"1780","41_93","NEO74554.1",263,2.28e-42,155,55.51,"GO:0006310;GO:0032196;GO:0003677","DNA recombination; transposition; DNA binding;DNA binding;transposition","NEO74554.1","IS200/IS605 family element transposase accessory protein TnpB, partial","none"
"1781","41_94","WP_206266984.1",40,1.42e-06,44.7,80,"GO:0006355","regulation of transcription, DNA-templated","WP_206266984.1","hypothetical protein","none"
"1782","41_95","WP_190357907.1",240,1.34e-120,348,81.67,"GO:0016787","hydrolase activity","K01061","carboxymethylenebutenolidase [EC:3.1.1.45]","K01061"
"1783","41_96","WP_019508810.1",339,1.25e-129,378,84.37,"GO:0016020","membrane","K04087","modulator of FtsH protease HflC","K04087"
"1784","41_97","WP_015150770.1",140,4.36e-44,147,72.86,"GO:0016020;GO:0008233;GO:0016021","membrane;integral component of membrane;peptidase activity","K07340","inner membrane protein","K07340"
"1785","41_98","WP_012593663.1",146,1.15e-69,211,83.56,"GO:0016021","integral component of membrane","K20777","exonuclease 3'-5' domain-containing protein 2 [EC:3.1.11.1]","K20777"
"1786","41_99","WP_021835931.1",483,2.26e-305,872,98.96,"GO:0016021","integral component of membrane","K01992","ABC-2 type transport system permease protein","K01992"
"1787","41_104","CUR31200.1",91,7.58e-19,83.6,63.74,"GO:0003676","nucleic acid binding","K07494","putative transposase","K07494"
"1788","44_1","EHJ12148.1",76,1.66e-42,146,94.74,"GO:0006278;GO:0090305;GO:0003964;GO:0004519","RNA-dependent DNA biosynthetic process; nucleic acid phosphodiester bond hydrolysis; RNA-directed DNA polymerase activity; endonuclease activity;endonuclease activity;RNA-directed DNA polymerase activity","K00986","RNA-directed DNA polymerase [EC:2.7.7.49]","K00986"
"1789","44_2","WP_014275698.1",278,7.04e-106,324,75.54,"GO:0006278;GO:0090305;GO:0003676;GO:0003964;GO:0004519","RNA-dependent DNA biosynthetic process; nucleic acid phosphodiester bond hydrolysis; nucleic acid binding; RNA-directed DNA polymerase activity; endonuclease activity;endonuclease activity;nucleic acid binding;RNA-directed DNA polymerase activity","K00986","RNA-directed DNA polymerase [EC:2.7.7.49]","K00986"
"1790","44_3","NEO00993.1",38,3.03e-09,55.8,78.95,"GO:0006310;GO:0032196;GO:0003677","DNA recombination; transposition; DNA binding;DNA binding;transposition","K07496","putative transposase","K07496"
"1791","44_4","WP_014275698.1",69,7.32e-24,99.8,73.91,"GO:0003676;GO:0004519;GO:0003964","nucleic acid binding; endonuclease activity;endonuclease activity;RNA-directed DNA polymerase activity","K00986","RNA-directed DNA polymerase [EC:2.7.7.49]","K00986"
"1792","44_5","EHJ12148.1",252,6.25e-148,422,87.7,"GO:0006278;GO:0090305;GO:0003964;GO:0004519","RNA-dependent DNA biosynthetic process; nucleic acid phosphodiester bond hydrolysis; RNA-directed DNA polymerase activity; endonuclease activity;endonuclease activity;RNA-directed DNA polymerase activity","K00986","RNA-directed DNA polymerase [EC:2.7.7.49]","K00986"
"1793","44_6","AKV68991.1",101,2.63e-35,123,79.21,"GO:0006278;GO:0003964","RNA-dependent DNA biosynthetic process; RNA-directed DNA polymerase activity;RNA-directed DNA polymerase activity","K00986","RNA-directed DNA polymerase [EC:2.7.7.49]","K00986"
"1794","44_12","WP_016948830.1",510,4.91e-279,771,84.9,"GO:0016491","oxidoreductase activity","K09835","prolycopene isomerase [EC:5.2.1.13]","K09835"
"1795","44_13","XP_042376184.1",53,2.66e-08,52.8,67.92,"GO:0050661","NADP binding","K00042","2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]","K00042"
"1796","44_15","WP_109010953.1",135,9.54e-66,201,82.22,"GO:0006313;GO:0003677;GO:0004803","transposition, DNA-mediated; DNA binding; transposase activity","K07491","putative transposase","K07491"
"1797","44_17","MBI4223681.1",363,3.46e-98,301,63.36,"GO:0016757","glycosyltransferase activity","K00720","ceramide glucosyltransferase [EC:2.4.1.80]","K00720"
"1798","44_18","WP_015194764.1",305,2.39e-165,467,80.33,"GO:0008033;GO:0008616;GO:0046872;GO:0051539;GO:0052693;GO:0005737;GO:0016491","tRNA processing; queuosine biosynthetic process; metal ion binding; 4 iron, 4 sulfur cluster binding; epoxyqueuosine reductase activity; cytoplasm; oxidoreductase activity;cytoplasm;4 iron, 4 sulfur cluster binding;epoxyqueuosine reductase activity;metal ion binding;queuosine biosynthetic process","K18979","epoxyqueuosine reductase [EC:1.17.99.6]","K18979"
"1799","44_20","CCQ52992.1",170,5.4e-112,321,98.82,"GO:0000160","phosphorelay signal transduction system","K02658","twitching motility two-component system response regulator PilH","K02658"
"1800","44_22","WP_008196816.1",75,2.73e-22,88.2,77.33,"GO:0016740","transferase activity","WP_008196816.1","MULTISPECIES: hypothetical protein","none"
"1801","44_22","WP_008196816.1",75,2.73e-22,88.2,77.33,"GO:0016740","transferase activity","WP_008196816.1","MULTISPECIES: hypothetical protein","none"
"1802","44_23","WP_015080543.1",222,1.6e-110,321,81.53,"GO:0006749;GO:0005515;GO:0016740","glutathione metabolic process; protein binding; transferase activity;transferase activity","K00799","glutathione S-transferase [EC:2.5.1.18]","K00799"
"1803","44_24","WP_009453672.1",1192,0,1567,79.53,"GO:0000716;GO:0006355;GO:0003684;GO:0005524;GO:0016787;GO:0005737;GO:0006281;GO:0003676","transcription-coupled nucleotide-excision repair, DNA damage recognition; regulation of transcription, DNA-templated; damaged DNA binding; ATP binding; hydrolase activity; cytoplasm;DNA repair; nucleic acid binding;cytoplasm;ATP binding;damaged DNA binding;hydrolase activity;regulation of transcription, DNA-templated","K03723","transcription-repair coupling factor (superfamily II helicase) [EC:3.6.4.-]","K03723"
"1804","44_25","WP_070395560.1",395,2.44e-122,364,66.58,"GO:0015846;GO:0019808;GO:0042597","polyamine transport; polyamine binding; periplasmic space;periplasmic space;polyamine binding","K11069","spermidine/putrescine transport system substrate-binding protein","K11069"
"1805","44_27","ABE10827.1",207,6.06e-61,194,69.57,"GO:0016020;GO:0016021","membrane; integral component of membrane;integral component of membrane","K09793","uncharacterized protein","K09793"
"1806","44_28","WP_190599464.1",400,7.9e-229,635,87,"GO:0019288;GO:0050992;GO:0046872;GO:0051745","isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway; dimethylallyl diphosphate biosynthetic process; metal ion binding; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity","K03527","4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]","K03527"
"1807","44_29","WP_190675329.1",96,6.29e-36,123,83.33,"GO:0005506;GO:0009055;GO:0020037","iron ion binding; electron transfer activity; heme binding","K08906","cytochrome c6","K08906"
"1808","44_30","WP_012594948.1",88,1.61e-32,114,82.95,"GO:0016021","integral component of membrane","K13256","protein PsiE","K13256"
"1809","44_31","WP_193897916.1",686,0,1099,86.44,"GO:0006508;GO:0004252;GO:0008236","proteolysis; serine-type endopeptidase activity; serine-type peptidase activity","K01322","prolyl oligopeptidase [EC:3.4.21.26]","K01322"
"1810","44_32","WP_162327911.1",334,2.32e-150,432,77.54,"GO:0000162;GO:0004048;GO:0016757","tryptophan biosynthetic process; anthranilate phosphoribosyltransferase activity; glycosyltransferase activity","K00766","anthranilate phosphoribosyltransferase [EC:2.4.2.18]","K00766"
"1811","44_34","WP_190979386.1",277,1.61e-189,525,95.67,"GO:0009234;GO:0008935;GO:0003824","menaquinone biosynthetic process; 1,4-dihydroxy-2-naphthoyl-CoA synthase activity; catalytic activity","K01661","naphthoate synthase [EC:4.1.3.36]","K01661"
"1812","44_35","WP_204154255.1",63,4.64e-06,54.3,66.67,"GO:0005515;GO:0005871","protein binding; kinesin complex","K19360","nephrocystin-3","K19360"
"1813","44_36","NJL86628.1",271,1.97e-66,213,61.99,"GO:0008168","methyltransferase activity","K03183","demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]","K03183"
"1814","44_39","WP_010872704.1",425,5.43e-267,733,93.65,"GO:0006730;GO:0004013;GO:0005737","one-carbon metabolic process; adenosylhomocysteinase activity; cytoplasm;cytoplasm;adenosylhomocysteinase activity","K01251","adenosylhomocysteinase [EC:3.3.1.1]","K01251"
"1815","44_41","ACB52301.1",88,1.73e-14,69.7,60.23,"GO:0035438","cyclic-di-GMP binding","K23127","cyclic-di-GMP-binding protein","K23127"
"1816","44_42","TRU91853.1",271,2.83e-164,461,94.46,"GO:0009089;GO:0019877;GO:0008839;GO:0016726;GO:0050661;GO:0051287;GO:0005737","lysine biosynthetic process via diaminopimelate; diaminopimelate biosynthetic process; 4-hydroxy-tetrahydrodipicolinate reductase; oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor; NADP binding; NAD binding; cytoplasm;cytoplasm;4-hydroxy-tetrahydrodipicolinate reductaseD bindingDP binding;oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor;diaminopimelate biosynthetic process","K16908","chloroplast NAD(P)H dehydrogenase [EC:1.6.99.-]","K16908"
"1817","44_44","MBN3891424.1",252,1.31e-85,259,69.84,"GO:0016021","integral component of membrane","K05770","translocator protein","K05770"
"1818","44_49","TRU43815.1",165,4.97e-60,189,74.55,"GO:0016020;GO:0016021","membrane;integral component of membrane","K13440","cysteine protease avirulence protein AvrPphB [EC:3.4.22.-]","K13440"
"1819","44_51","NJM58515.1",129,2.99e-55,174,79.07,"GO:0015979;GO:0009538;GO:0009522","photosynthesis; photosystem I reaction center; photosystem I","K02699","photosystem I subunit XI","K02699"
"1820","46_1","NEO30349.1",128,4.2e-10,64.3,70.31,"GO:0016020;GO:0016021","membrane; integral component of membrane;integral component of membrane","K21919","BTB/POZ domain-containing protein KCTD9","K21919"
"1821","46_2","NCR15133.1",225,2.57e-81,248,74.67,"GO:0010207;GO:0015979","photosystem II assembly; photosynthesis","K20342","HTH-type transcriptional regulator, regulator for ComX","K20342"
"1822","46_3","NEP10938.1",749,0,977,78.77,"GO:0015698;GO:0055085;GO:0015377;GO:0016021;GO:0006811;GO:0022857;GO:0016020","inorganic anion transport; transmembrane transport; cation:chloride symporter activity; integral component of membrane;ion transport; transmembrane transporter activity; membrane;integral component of membrane;transmembrane transporter activity","K14429","solute carrier family 12 (potassium/chloride transporters), member 9","K14429"
"1823","46_6","REJ44756.1",361,5.09e-157,450,77.29,"GO:0008939","nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase activity","REJ44756.1","TIGR00303 family protein","none"
"1824","46_7","NCQ94739.1",419,3.72e-197,557,79.47,"GO:0009113;GO:0004637;GO:0005524;GO:0046872","purine nucleobase biosynthetic process; phosphoribosylamine-glycine ligase activity; ATP binding; metal ion binding","K01945","phosphoribosylamine---glycine ligase [EC:6.3.4.13]","K01945"
"1825","46_9","AFZ56754.1",527,3.63e-73,254,53.32,"GO:0005856;GO:0005871;GO:0005874","cytoskeleton; kinesin complex; microtubule;kinesin complex;microtubule","AFZ56754.1","Tetratricopeptide TPR_1 repeat-containing protein","none"
"1826","46_10","WP_007309825.1",129,4.79e-39,136,70.54,"GO:0005515","protein binding","K19360","nephrocystin-3","K19360"
"1827","46_20","WP_131594120.1",216,6.61e-08,58.2,45.83,"GO:0016765;GO:0016021","transferase activity, transferring alkyl or aryl (other than methyl) groups; integral component of membrane","K17105","geranylgeranylglycerol-phosphate geranylgeranyltransferase [EC:2.5.1.42]","K17105"
"1828","46_26","WP_190718271.1",633,0,972,86.26,"GO:1901137;GO:0004360;GO:0097367;GO:1901135","carbohydrate derivative biosynthetic process; glutamine-fructose-6-phosphate transaminase (isomerizing) activity; carbohydrate derivative binding;carbohydrate derivative metabolic process; carbohydrate derivative biosynthetic process","K00820","glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]","K00820"
"1829","46_27","OYV01532.1",380,9.49e-93,295,59.47,"GO:0005515;GO:0016491;GO:0051536;GO:0009055;GO:0046872;GO:0051537","protein binding; oxidoreductase activity; iron-sulfur cluster binding;2 iron, 2 sulfur cluster binding;electron transfer activity;metal ion binding","K21832","glycine betaine catabolism B","K21832"
"1830","46_28","WP_190647856.1",228,1.53e-123,354,85.53,"GO:0006749;GO:0016788;GO:0050313","glutathione metabolic process; hydrolase activity, acting on ester bonds; sulfur dioxygenase activity","K17725","sulfur dioxygenase [EC:1.13.11.18]","K17725"
"1831","46_30","MBK26806.1",214,2.19e-51,171,57.94,"GO:0006725;GO:0008199;GO:0018578;GO:0003824;GO:0005506;GO:0016702","cellular aromatic compound metabolic process; ferric iron binding; protocatechuate 3,4-dioxygenase activity; catalytic activity; iron ion binding; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen;ferric iron binding;protocatechuate 3,4-dioxygenase activity","K00449","protocatechuate 3,4-dioxygenase, beta subunit [EC:1.13.11.3]","K00449"
"1832","46_36","WP_190640126.1",350,7.6e-162,462,74.29,"GO:0009976","tocopherol cyclase activity","K09834","tocopherol cyclase [EC:5.5.1.24]","K09834"
"1833","46_38","NQZ64098.1",224,1.36e-148,422,99.55,"GO:0016829","lyase activity","K03642","rare lipoprotein A","K03642"
"1834","46_39","WP_212716325.1",506,1.37e-205,585,76.28,"GO:0006139;GO:0015940;GO:0004127;GO:0004592;GO:0005524;GO:0009058;GO:0003824","nucleobase-containing compound metabolic process; pantothenate biosynthetic process; cytidylate kinase activity; pantoate-beta-alanine ligase activity; ATP binding; biosynthetic process; catalytic activity","K13799","pantoate ligase / CMP/dCMP kinase [EC:6.3.2.1 2.7.4.25]","K13799"
"1835","46_43","WP_096585600.1",430,5.79e-223,622,85.81,"GO:0006520;GO:0004412;GO:0050661;GO:0016491","cellular amino acid metabolic process; homoserine dehydrogenase activity; NADP binding; oxidoreductase activity","K00003","homoserine dehydrogenase [EC:1.1.1.3]","K00003"
"1836","46_44","MBN3870748.1",64,4.56e-06,53.9,67.19,"GO:0006493;GO:0005515;GO:0016757","protein O-linked glycosylation; protein binding; glycosyltransferase activity","K09667","protein O-GlcNAc transferase [EC:2.4.1.255]","K09667"
"1837","46_45","WP_159291840.1",252,1.03e-28,122,54.76,"GO:0005515","protein binding","K09667","protein O-GlcNAc transferase [EC:2.4.1.255]","K09667"
"1838","46_47","NER28340.1",63,1.15e-09,59.3,66.67,"GO:0016020;GO:0016021","membrane; integral component of membrane;integral component of membrane","NER28340.1","hypothetical protein F6J89_12065","none"
"1839","46_48","NER28340.1",162,1.55e-29,117,61.11,"GO:0016020;GO:0016021","membrane; integral component of membrane;integral component of membrane","NER28340.1","hypothetical protein F6J89_12065","none"
"1840","46_50","NER28340.1",87,6.51e-18,82,68.97,"GO:0016020;GO:0016021","membrane; integral component of membrane;integral component of membrane","NER28340.1","hypothetical protein F6J89_12065","none"
"1841","46_51","WP_194014445.1",808,2.67e-279,793,66.58,"GO:0005509","calcium ion binding","K02183","calmodulin","K02183"
"1842","46_52","NCR54331.1",270,1.67e-153,433,88.15,"GO:0009058;GO:0004311;GO:0016740","biosynthetic process; farnesyltranstransferase activity; transferase activity","K00801","farnesyl-diphosphate farnesyltransferase [EC:2.5.1.21]","K00801"
"1843","46_53","NJP09109.1",151,3.25e-66,203,82.12,"GO:0042274","ribosomal small subunit biogenesis","K09748","ribosome maturation factor RimP","K09748"
"1844","46_54","WP_202928602.1",404,6.44e-203,571,85.89,"GO:0031564;GO:0003700;GO:0003723;GO:0006353;GO:0031554;GO:0003676","transcription antitermination; DNA-binding transcription factor activity; RNA binding;DNA-templated transcription, termination; regulation of DNA-templated transcription, termination; transcription antitermination; nucleic acid binding","K02600","transcription termination/antitermination protein NusA","K02600"
"1845","46_56","NCS76900.1",1034,0,951,70.99,"GO:0006413;GO:0003743;GO:0003924;GO:0005525","translational initiation; translation initiation factor activity; GTPase activity; GTP binding","K02519","translation initiation factor IF-2","K02519"
"1846","46_57","NES82469.1",388,8.7e-203,568,81.7,"GO:0009058;GO:0003824;GO:0030170","biosynthetic process; catalytic activity; pyridoxal phosphate binding","K14261","alanine-synthesizing transaminase [EC:2.6.1.-]","K14261"
"1847","46_58","PSO88624.1",690,3.28e-285,800,69.13,"GO:0005980;GO:0004134;GO:0004135;GO:0005975","glycogen catabolic process; 4-alpha-glucanotransferase activity; amylo-alpha-1,6-glucosidase activity;carbohydrate metabolic process; glycogen catabolic process","K01196","glycogen debranching enzyme [EC:2.4.1.25 3.2.1.33]","K01196"
"1848","46_59","WP_168360640.1",258,2.07e-132,380,86.82,"GO:0003723","RNA binding","K06180","23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23]","K06180"
"1849","46_62","WP_096536827.1",446,1.2e-188,538,75.11,"GO:0006396;GO:0008173","RNA processing; RNA methyltransferase activity","K03215","23S rRNA (uracil1939-C5)-methyltransferase [EC:2.1.1.190]","K03215"
"1850","46_64","WP_190409373.1",282,1.4e-156,442,91.49,"GO:0017004;GO:0016020","cytochrome complex assembly; membrane","K06196","cytochrome c-type biogenesis protein","K06196"
"1851","46_65","WP_190592912.1",233,8.98e-115,333,84.98,"GO:0005524","ATP binding","K11958","neutral amino acid transport system ATP-binding protein","K11958"
"1852","46_66","WP_094332787.1",74,4.08e-51,159,93.24,"GO:0009055","electron transfer activity","K05524","ferredoxin","K05524"
"1853","46_67","TAN34313.1",150,7.57e-13,75.1,53.33,"GO:0016020;GO:0016021","membrane; integral component of membrane;integral component of membrane","K04084","thiol:disulfide interchange protein DsbD [EC:1.8.1.8]","K04084"
"1854","46_68","PSO67286.1",237,3.51e-99,293,82.7,"GO:0008033;GO:0000049;GO:0009022","tRNA processing; tRNA binding; tRNA nucleotidyltransferase activity","K00989","ribonuclease PH [EC:2.7.7.56]","K00989"
"1855","46_71","WP_206044126.1",226,1.03e-105,313,83.19,"GO:0016491","oxidoreductase activity","K11163","dehydrogenase/reductase SDR family member 1 [EC:1.1.-.-]","K11163"
"1856","46_72","MBW4596727.1",613,4.59e-280,781,78.79,"GO:0006508;GO:0004252;GO:0008236","proteolysis; serine-type endopeptidase activity; serine-type peptidase activity","K14645","serine protease [EC:3.4.21.-]","K14645"
"1857","47_1","TAE82672.1",243,4.07e-144,407,90.12,"GO:0010024;GO:0050618;GO:0050897;GO:0016636","phytochromobilin biosynthetic process; phycoerythrobilin:ferredoxin oxidoreductase activity; cobalt ion binding; oxidoreductase activity, acting on the CH-CH group of donors, iron-sulfur protein as acceptor","K05370","phycoerythrobilin:ferredoxin oxidoreductase [EC:1.3.7.3]","K05370"
"1858","47_2","NEQ63042.1",54,2.02e-25,100,90.74,"GO:0006310;GO:0032196;GO:0003677","DNA recombination; transposition; DNA binding;DNA binding;transposition","K07496","putative transposase","K07496"
"1859","48_1","WP_186631693.1",232,3.02e-45,159,53.88,"GO:0016491","oxidoreductase activity","K22874","L-tyrosine isonitrile desaturase/decarboxylase [EC:1.14.20.9 1.14.20.10]","K22874"
"1860","48_2","XP_042912559.1",313,8.69e-85,261,59.42,"GO:0008146","sulfotransferase activity","K01025","sulfotransferase [EC:2.8.2.-]","K01025"
"1861","48_7","WP_015152217.1",29,5.03e-09,49.7,NA,"GO:0015979;GO:0009522;GO:0016021;GO:0031676","photosynthesis;integral component of membrane;photosystem I;plasma membrane-derived thylakoid membrane","K02700","photosystem I subunit XII","K02700"
"1862","48_7","WP_015152217.1",29,5.03e-09,49.7,NA,"GO:0015979;GO:0009522;GO:0016021;GO:0031676","photosynthesis;integral component of membrane;photosystem I;plasma membrane-derived thylakoid membrane","K02700","photosystem I subunit XII","K02700"
"1863","48_7","WP_015152217.1",29,5.03e-09,49.7,NA,"GO:0015979;GO:0009522;GO:0016021;GO:0031676","photosynthesis;integral component of membrane;photosystem I;plasma membrane-derived thylakoid membrane","K02700","photosystem I subunit XII","K02700"
"1864","48_9","NEN93188.1",69,9.61e-21,86.3,78.26,"GO:0006310;GO:0032196;GO:0003677","DNA recombination; transposition; DNA binding;DNA binding;transposition","NEN93188.1","IS200/IS605 family element transposase accessory protein TnpB, partial","none"
