	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	30_12	BAY28196.1	1251	1	4.8E-238	89.54	6	P:GO:0006556; P:GO:0006730; F:GO:0000287; F:GO:0004478; F:GO:0005524; C:GO:0005737	P:S-adenosylmethionine biosynthetic process; P:one-carbon metabolic process; F:magnesium ion binding; F:methionine adenosyltransferase activity; F:ATP binding; C:cytoplasm	EC:2.5.1.6	Methionine adenosyltransferase	G3DSA:3.30.300.10 (GENE3D); IPR022630 (PFAM); IPR022629 (PFAM); IPR002133 (TIGRFAM); IPR022628 (PFAM); G3DSA:3.30.300.10 (GENE3D); G3DSA:3.30.300.10 (GENE3D); IPR002133 (PIRSF); IPR002133 (PANTHER); PTHR11964:SF1 (PANTHER); IPR002133 (HAMAP); cd18079 (CDD); IPR022636 (SUPERFAMILY); IPR022636 (SUPERFAMILY); IPR022636 (SUPERFAMILY)	P:GO:0006556; F:GO:0004478; F:GO:0005524	P:S-adenosylmethionine biosynthetic process; F:methionine adenosyltransferase activity; F:ATP binding
true	[INTERPRO, BLASTED, ANNOTATED]	30_13	MBW4606159.1	1464	1	1.4E-92	55.67	1	F:GO:0016702	F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen			IPR004294 (PFAM); IPR004294 (PANTHER); PTHR10543:SF89 (PANTHER)	F:GO:0016702	F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen
true	[INTERPRO, BLASTED]	30_14	MBO9997653.1	501	1	1.95E-18	50.3						IPR010802 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	30_15	WP_211178696.1	459	1	5.09E-44	69.77						IPR018673 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	30_16	MBU7586783.1	213	1	2.99E-26	83.82						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	30_17	WP_079208996.1	1371	1	3.39E-197	75.0						IPR007016 (PFAM); IPR006007 (TIGRFAM); PTHR37422 (PANTHER); PTHR37422:SF5 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	30_18	KFF41548.1	798	1	2.11E-95	86.31	3	P:GO:0009245; F:GO:0008780; C:GO:0005737	P:lipid A biosynthetic process; F:acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity; C:cytoplasm	EC:2.3.1.129	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	IPR029098 (PFAM); IPR001451 (PFAM); IPR037157 (G3DSA:1.20.1180.GENE3D); IPR010137 (TIGRFAM); G3DSA:2.160.10.10 (GENE3D); IPR010137 (PIRSF); IPR010137 (PANTHER); IPR010137 (HAMAP); IPR010137 (CDD); IPR011004 (SUPERFAMILY)	P:GO:0008610; F:GO:0008780	P:lipid biosynthetic process; F:acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity
true	[INTERPRO, BLASTED, ANNOTATED]	30_19	WP_102943304.1	1161	1	6.03E-153	74.02	2	P:GO:0009245; F:GO:0008915	P:lipid A biosynthetic process; F:lipid-A-disaccharide synthase activity			IPR003835 (PFAM); G3DSA:3.40.50.2000 (GENE3D); IPR003835 (TIGRFAM); IPR003835 (PANTHER); PTHR30372:SF0 (PANTHER); SSF53756 (SUPERFAMILY)	P:GO:0009245; F:GO:0008915	P:lipid A biosynthetic process; F:lipid-A-disaccharide synthase activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	30_20	WP_073595483.1	1206	1	9.89E-201	81.52	2	P:GO:0032259; F:GO:0008168	P:methylation; F:methyltransferase activity	EC:2.1.1	Transferring one-carbon groups	IPR025714 (PFAM); G3DSA:3.40.50.150 (GENE3D); PTHR43464 (PANTHER); PTHR43464:SF51 (PANTHER); cd02440 (CDD); IPR029063 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	30_21	WP_007305460.1	645	1	1.39E-145	97.65						IPR012296 (G3DSA:3.90.1570.GENE3D); IPR008538 (PFAM); PTHR34107:SF4 (PANTHER); PTHR34107 (PANTHER); IPR008538 (CDD); IPR011335 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	30_22	WP_011610656.1	2457	1	5.89E-181	71.88	2	F:GO:0005515; C:GO:0016020	F:protein binding; C:membrane			IPR011990 (G3DSA:1.25.40.GENE3D); IPR024983 (PFAM); PTHR10098 (PANTHER); PTHR10098:SF106 (PANTHER); IPR019734 (PROSITE_PROFILES); IPR011990 (SUPERFAMILY)	F:GO:0005515	F:protein binding
true	[INTERPRO, BLASTED]	30_23	WP_026093811.1	423	1	1.17E-58	87.39						IPR012657 (PFAM); IPR036583 (G3DSA:1.20.1440.GENE3D); IPR012657 (TIGRFAM); IPR012657 (PANTHER); IPR012657 (CDD); IPR036583 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	30_24	WP_021831311.1	1515	1	0.0	95.63	4	P:GO:0006278; P:GO:0090305; F:GO:0003964; F:GO:0004519	P:RNA-dependent DNA biosynthetic process; P:nucleic acid phosphodiester bond hydrolysis; F:RNA-directed DNA polymerase activity; F:endonuclease activity	EC:3.1; EC:2.7.7.49	Acting on ester bonds; RNA-directed DNA polymerase	IPR003615 (SMART); IPR013597 (PFAM); IPR000477 (PFAM); IPR025960 (PFAM); PTHR34047:SF8 (PANTHER); PTHR34047 (PANTHER); IPR000477 (PROSITE_PROFILES); cd01651 (CDD); IPR003615 (CDD); IPR043502 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	30_25	WP_149978681.1	636	1	1.7E-51	66.27						IPR025478 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	30_26	WP_170473593.1	570	1	2.4E-48	75.17						IPR000782 (SMART); IPR036378 (G3DSA:2.30.180.GENE3D); IPR000782 (PFAM); PTHR10900 (PANTHER); IPR000782 (PROSITE_PROFILES); IPR036378 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	30_27	WP_008183051.1	291	1	5.53E-31	80.9	1	P:GO:0032955	P:regulation of division septum assembly			IPR005527 (PFAM); IPR005527 (TIGRFAM); IPR036707 (G3DSA:3.30.1070.GENE3D); IPR005527 (HAMAP); IPR036707 (SUPERFAMILY)	P:GO:0032955; P:GO:0051301	P:regulation of division septum assembly; P:cell division
true	[INTERPRO, BLASTED, ANNOTATED]	30_28	MBJ7900195.1	798	1	5.39E-134	90.31	1	F:GO:0016887	F:ATP hydrolysis activity			IPR002586 (PFAM); IPR025501 (PIRSF); IPR010223 (TIGRFAM); IPR027417 (G3DSA:3.40.50.GENE3D); PTHR43384 (PANTHER); PTHR43384:SF6 (PANTHER); cd02036 (CDD); IPR027417 (SUPERFAMILY)	F:GO:0016887	F:ATP hydrolysis activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	30_29	WP_045358794.1	819	1	5.36E-80	65.91	2	P:GO:0000902; P:GO:1901891	P:cell morphogenesis; P:regulation of cell septum assembly			IPR013033 (TIGRFAM); IPR016098 (G3DSA:2.160.20.GENE3D); IPR005526 (PFAM); IPR013033 (PANTHER); IPR013033 (HAMAP); IPR036145 (SUPERFAMILY)	P:GO:0000902; P:GO:0051726; P:GO:1901891	P:cell morphogenesis; P:regulation of cell cycle; P:regulation of cell septum assembly
true	[INTERPRO, BLASTED, ANNOTATED]	30_30	WP_107667784.1	900	1	3.34E-193	97.32	3	P:GO:0006457; F:GO:0051082; C:GO:0005737	P:protein folding; F:unfolded protein binding; C:cytoplasm			IPR016154 (G3DSA:3.90.1280.GENE3D); IPR016153 (G3DSA:3.55.30.GENE3D); IPR000397 (PIRSF); IPR000397 (PFAM); IPR000397 (PANTHER); IPR000397 (HAMAP); IPR000397 (CDD); IPR016153 (SUPERFAMILY); IPR016154 (SUPERFAMILY)	P:GO:0006457; F:GO:0051082; C:GO:0005737	P:protein folding; F:unfolded protein binding; C:cytoplasm
true	[INTERPRO, BLASTED, ANNOTATED]	30_31	WP_190458248.1	1239	1	2.48E-163	74.02	3	P:GO:0008643; F:GO:0005524; F:GO:0140359	P:carbohydrate transport; F:ATP binding; F:ABC-type transporter activity			IPR003593 (SMART); IPR040582 (PFAM); G3DSA:2.40.50.140 (GENE3D); IPR003439 (PFAM); IPR027417 (G3DSA:3.40.50.GENE3D); G3DSA:2.40.50.100 (GENE3D); PTHR43875 (PANTHER); IPR003439 (PROSITE_PROFILES); IPR015855 (CDD); IPR008995 (SUPERFAMILY); IPR027417 (SUPERFAMILY)	P:GO:0008643; F:GO:0005524; F:GO:0140359	P:carbohydrate transport; F:ATP binding; F:ABC-type transporter activity
true	[INTERPRO, BLASTED, MAPPED]	30_32	PYS61388.1	1200	1	4.01E-101	60.65	2	C:GO:0016020; C:GO:0016021	C:membrane; C:integral component of membrane			IPR036514 (G3DSA:3.40.50.GENE3D); cd00229 (CDD); SSF52266 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	30_33	NEQ70484.1	342	1	3.34E-42	80.41	2	P:GO:0006662; F:GO:0015035	P:glycerol ether metabolic process; F:protein-disulfide reductase activity	EC:1.8	Acting on a sulfur group of donors	PR00421 (PRINTS); G3DSA:3.40.30.10 (GENE3D); IPR013766 (PFAM); IPR005746 (PIRSF); PTHR45663 (PANTHER); PTHR45663:SF22 (PANTHER); IPR013766 (PROSITE_PROFILES); cd02947 (CDD); IPR036249 (SUPERFAMILY)	P:GO:0006662; F:GO:0015035	P:glycerol ether metabolic process; F:protein-disulfide reductase activity
true	[INTERPRO, BLASTED]	30_34	WP_000373973.1	549	1	3.87E-6	53.26						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	30_35	WP_032525907.1	318	1	6.45E-60	94.23	4	P:GO:0006412; F:GO:0000049; F:GO:0003735; C:GO:0005840	P:translation; F:tRNA binding; F:structural constituent of ribosome; C:ribosome			IPR001848 (PRINTS); IPR027486 (SMART); IPR027486 (PFAM); IPR001848 (TIGRFAM); IPR036838 (G3DSA:3.30.70.GENE3D); PTHR11700:SF9 (PANTHER); IPR001848 (PANTHER); IPR001848 (HAMAP); IPR036838 (SUPERFAMILY)	P:GO:0006412; F:GO:0003735; C:GO:0005840	P:translation; F:structural constituent of ribosome; C:ribosome
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	30_36	PSN11165.1	1230	1	1.71E-255	92.42	5	P:GO:0006414; F:GO:0003746; F:GO:0003924; F:GO:0005525; C:GO:0005737	P:translational elongation; F:translation elongation factor activity; F:GTPase activity; F:GTP binding; C:cytoplasm	EC:3.6.1	Acting on acid anhydrides	IPR000795 (PRINTS); IPR004160 (PFAM); IPR004161 (PFAM); IPR005225 (TIGRFAM); G3DSA:2.40.30.10 (GENE3D); IPR004541 (TIGRFAM); IPR027417 (G3DSA:3.40.50.GENE3D); IPR000795 (PFAM); G3DSA:2.40.30.10 (GENE3D); PTHR43721:SF5 (PANTHER); PTHR43721 (PANTHER); IPR000795 (PROSITE_PROFILES); IPR004541 (HAMAP); IPR033720 (CDD); cd03707 (CDD); IPR041709 (CDD); IPR027417 (SUPERFAMILY); IPR009001 (SUPERFAMILY); IPR009000 (SUPERFAMILY)	P:GO:0006414; F:GO:0003746; F:GO:0003924; F:GO:0005525	P:translational elongation; F:translation elongation factor activity; F:GTPase activity; F:GTP binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	30_37	WP_006530855.1	2094	1	0.0	90.74	5	P:GO:0006414; F:GO:0003746; F:GO:0003924; F:GO:0005525; C:GO:0005737	P:translational elongation; F:translation elongation factor activity; F:GTPase activity; F:GTP binding; C:cytoplasm	EC:3.6.1	Acting on acid anhydrides	IPR000795 (PRINTS); IPR005517 (SMART); IPR000640 (SMART); IPR005225 (TIGRFAM); IPR000795 (PFAM); IPR005517 (PFAM); G3DSA:3.30.70.240 (GENE3D); IPR041095 (PFAM); IPR014721 (G3DSA:3.30.230.GENE3D); IPR004540 (TIGRFAM); IPR004161 (PFAM); IPR000640 (PFAM); IPR027417 (G3DSA:3.40.50.GENE3D); G3DSA:3.30.70.870 (GENE3D); G3DSA:2.40.30.10 (GENE3D); PTHR43261 (PANTHER); PTHR43261:SF1 (PANTHER); IPR000795 (PROSITE_PROFILES); IPR004540 (HAMAP); cd01886 (CDD); cd04088 (CDD); IPR009022 (CDD); IPR005517 (CDD); IPR035649 (CDD); IPR009000 (SUPERFAMILY); IPR035647 (SUPERFAMILY); IPR027417 (SUPERFAMILY); IPR035647 (SUPERFAMILY); IPR020568 (SUPERFAMILY)	P:GO:0006414; F:GO:0003746; F:GO:0003924; F:GO:0005525	P:translational elongation; F:translation elongation factor activity; F:GTPase activity; F:GTP binding
true	[INTERPRO, BLASTED, ANNOTATED]	30_38	MBN3948579.1	471	1	6.84E-79	87.18	3	P:GO:0006412; F:GO:0003735; C:GO:0015935	P:translation; F:structural constituent of ribosome; C:small ribosomal subunit			IPR023798 (PFAM); IPR005717 (TIGRFAM); IPR000235 (PIRSF); IPR036823 (G3DSA:1.10.455.GENE3D); IPR000235 (PANTHER); PTHR11205:SF19 (PANTHER); IPR005717 (HAMAP); cd14871 (CDD); IPR036823 (SUPERFAMILY)	P:GO:0006412; F:GO:0003735; C:GO:0015935	P:translation; F:structural constituent of ribosome; C:small ribosomal subunit
true	[INTERPRO, BLASTED, ANNOTATED]	30_39	MBW4521951.1	375	1	9.12E-78	95.16	3	P:GO:0006412; F:GO:0003735; C:GO:0015935	P:translation; F:structural constituent of ribosome; C:small ribosomal subunit			IPR006032 (PRINTS); IPR006032 (PFAM); G3DSA:2.40.50.140 (GENE3D); IPR005679 (TIGRFAM); IPR006032 (PIRSF); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); IPR006032 (PANTHER); PTHR11652:SF1 (PANTHER); IPR005679 (HAMAP); IPR005679 (CDD); IPR012340 (SUPERFAMILY)	P:GO:0006412; F:GO:0003735; C:GO:0005840; C:GO:0015935	P:translation; F:structural constituent of ribosome; C:ribosome; C:small ribosomal subunit
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	30_40	WP_021831311.1	1515	1	0.0	94.44	4	P:GO:0006278; P:GO:0090305; F:GO:0003964; F:GO:0004519	P:RNA-dependent DNA biosynthetic process; P:nucleic acid phosphodiester bond hydrolysis; F:RNA-directed DNA polymerase activity; F:endonuclease activity	EC:3.1; EC:2.7.7.49	Acting on ester bonds; RNA-directed DNA polymerase	IPR003615 (SMART); IPR025960 (PFAM); IPR013597 (PFAM); IPR000477 (PFAM); PTHR34047 (PANTHER); PTHR34047:SF8 (PANTHER); IPR000477 (PROSITE_PROFILES); IPR013087 (PROSITE_PROFILES); cd01651 (CDD); IPR003615 (CDD); IPR043502 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	30_41	WP_106167496.1	345	1	1.2E-30	66.36	2	P:GO:0016226; F:GO:0051536	P:iron-sulfur cluster assembly; F:iron-sulfur cluster binding			IPR035903 (G3DSA:2.60.300.GENE3D); IPR000361 (PFAM); IPR016092 (TIGRFAM); PTHR10072 (PANTHER); PTHR10072:SF41 (PANTHER); IPR035903 (SUPERFAMILY)	P:GO:0016226; F:GO:0051536	P:iron-sulfur cluster assembly; F:iron-sulfur cluster binding
true	[INTERPRO]	30_42		117									no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	30_43	MBP0027290.1	312	1	4.38E-25	68.97						IPR043519 (G3DSA:3.30.460.GENE3D); IPR041633 (PFAM); PTHR33571:SF16 (PANTHER); PTHR33571 (PANTHER); cd05403 (CDD); IPR043519 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	30_44	WP_099435160.1	339	1	7.05E-40	76.15	2	F:GO:0004540; C:GO:0110001	F:ribonuclease activity; C:toxin-antitoxin complex			IPR008201 (PFAM); PTHR34139 (PANTHER)	F:GO:0004540; C:GO:0110001	F:ribonuclease activity; C:toxin-antitoxin complex
true	[INTERPRO, BLASTED]	30_45	MBN4003115.1	450	1	1.02E-53	72.73						G3DSA:1.20.1220.20 (GENE3D); IPR002636 (PFAM); PTHR34235:SF3 (PANTHER); IPR002636 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	30_46	NTV04985.1	483	1	2.17E-42	72.3	1	F:GO:0016884	F:carbon-nitrogen ligase activity, with glutamine as amido-N-donor			IPR019004 (PFAM); IPR042184 (G3DSA:1.10.1510.GENE3D); IPR023168 (G3DSA:1.10.10.GENE3D); IPR019004 (PANTHER); IPR003789 (SUPERFAMILY)	F:GO:0016884	F:carbon-nitrogen ligase activity, with glutamine as amido-N-donor
true	[INTERPRO, BLASTED, ANNOTATED]	30_47	NJN01355.1	1182	1	8.54E-143	70.05	2	P:GO:0009245; F:GO:0008915	P:lipid A biosynthetic process; F:lipid-A-disaccharide synthase activity			G3DSA:3.40.50.2000 (GENE3D); IPR019994 (TIGRFAM); IPR003835 (PFAM); IPR019994 (PANTHER); SSF53756 (SUPERFAMILY)	P:GO:0009245; F:GO:0008915	P:lipid A biosynthetic process; F:lipid-A-disaccharide synthase activity
true	[INTERPRO, BLASTED, ANNOTATED]	30_48	WP_204102679.1	357	1	1.14E-68	91.53	2	P:GO:0016226; F:GO:0051536	P:iron-sulfur cluster assembly; F:iron-sulfur cluster binding			IPR000361 (PFAM); IPR035903 (G3DSA:2.60.300.GENE3D); IPR016092 (TIGRFAM); PTHR47265:SF1 (PANTHER); IPR031108 (PANTHER); IPR035903 (SUPERFAMILY)	P:GO:0016226; F:GO:0051536	P:iron-sulfur cluster assembly; F:iron-sulfur cluster binding
true	[INTERPRO, BLASTED]	30_49	WP_074043029.1	1194	1	3.1E-42	53.91						IPR010095 (TIGRFAM); IPR010095 (PFAM); PTHR30405:SF17 (PANTHER); PTHR30405 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	30_50	WP_190909590.1	426	1	1.99E-59	81.16	1	F:GO:0005515	F:protein binding			IPR011990 (G3DSA:1.25.40.GENE3D); IPR011990 (SUPERFAMILY)	F:GO:0005515	F:protein binding
true	[INTERPRO, BLASTED, ANNOTATED]	30_51	MBW4636838.1	876	1	1.78E-154	85.57	2	P:GO:0071586; F:GO:0004222	P:CAAX-box protein processing; F:metalloendopeptidase activity			G3DSA:3.30.2010.10 (GENE3D); IPR001915 (PFAM); IPR027057 (PANTHER); PTHR10120:SF26 (PANTHER); cd07325 (CDD)	P:GO:0006508; P:GO:0071586; F:GO:0004222; F:GO:0008233	P:proteolysis; P:CAAX-box protein processing; F:metalloendopeptidase activity; F:peptidase activity
true	[INTERPRO, BLASTED]	30_52	WP_194023340.1	657	1	8.91E-80	74.87						IPR008538 (PFAM); IPR012296 (G3DSA:3.90.1570.GENE3D); PTHR34107:SF2 (PANTHER); PTHR34107 (PANTHER); IPR008538 (CDD); IPR011335 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	30_53	HAV2897217.1	1695	1	2.61E-66	52.94						IPR027417 (G3DSA:3.40.50.GENE3D); IPR027417 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	30_54	ECT7813532.1	648	1	1.12E-13	48.69	3	P:GO:0009307; F:GO:0003677; F:GO:0004519	P:DNA restriction-modification system; F:DNA binding; F:endonuclease activity			IPR007560 (PFAM); IPR011856 (G3DSA:3.40.1350.GENE3D); IPR011335 (SUPERFAMILY)	P:GO:0009307; F:GO:0003676; F:GO:0003677; F:GO:0004518; F:GO:0004519	P:DNA restriction-modification system; F:nucleic acid binding; F:DNA binding; F:nuclease activity; F:endonuclease activity
true	[INTERPRO, BLASTED]	30_55	WP_070395553.1	591	1	3.25E-103	84.62						IPR008538 (PFAM); IPR012296 (G3DSA:3.90.1570.GENE3D); PTHR34107 (PANTHER); PTHR34107:SF6 (PANTHER); IPR008538 (CDD); IPR011335 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	30_56	WP_026735064.1	1053	1	1.71E-182	85.88	3	F:GO:0000287; F:GO:0003924; F:GO:0005525	F:magnesium ion binding; F:GTPase activity; F:GTP binding			IPR006073 (PRINTS); IPR006169 (PFAM); IPR027417 (G3DSA:3.40.50.GENE3D); IPR036726 (G3DSA:2.70.210.GENE3D); IPR006073 (PFAM); IPR014100 (TIGRFAM); IPR014100 (PIRSF); PTHR11702:SF31 (PANTHER); IPR045086 (PANTHER); IPR006169 (PROSITE_PROFILES); IPR031167 (PROSITE_PROFILES); IPR014100 (HAMAP); IPR031167 (CDD); IPR036726 (SUPERFAMILY); IPR027417 (SUPERFAMILY)	F:GO:0000287; F:GO:0003924; F:GO:0005525	F:magnesium ion binding; F:GTPase activity; F:GTP binding
true	[INTERPRO, BLASTED, ANNOTATED]	30_57	WP_008203437.1	237	1	4.52E-23	72.37	2	P:GO:0006401; F:GO:0004519	P:RNA catabolic process; F:endonuclease activity			IPR009614 (PFAM); IPR035093 (G3DSA:3.30.2310.GENE3D); IPR035093 (SUPERFAMILY)	P:GO:0006401; F:GO:0004519	P:RNA catabolic process; F:endonuclease activity
true	[INTERPRO, BLASTED]	30_58	OCQ89083.1	219	1	1.4E-16	74.29						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	30_59	NJK30728.1	276	1	3.49E-15	63.86						no IPS match	no IPS match	no IPS match
true	[INTERPRO, ANNOTATED]	30_60		2457				1	F:GO:0005515	F:protein binding			IPR019734 (SMART); IPR011990 (G3DSA:1.25.40.GENE3D); IPR011990 (G3DSA:1.25.40.GENE3D); PF13424 (PFAM); IPR019734 (PFAM); IPR011990 (G3DSA:1.25.40.GENE3D); PTHR10098 (PANTHER); PTHR10098:SF106 (PANTHER); PTHR10098 (PANTHER); PTHR10098:SF106 (PANTHER); PTHR10098 (PANTHER); PTHR10098:SF106 (PANTHER); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR011990 (SUPERFAMILY); IPR011990 (SUPERFAMILY); IPR011990 (SUPERFAMILY); IPR011990 (SUPERFAMILY)	F:GO:0005515	F:protein binding
true	[INTERPRO, BLASTED]	30_61	WP_193974425.1	447	1	3.43E-46	69.06						IPR025459 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	30_62	ADG99420.1	219	1	7.53E-20	74.24						IPR029110 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	30_63	WP_096723419.1	2019	1	0.0	89.61	3	P:GO:0015995; F:GO:0005524; F:GO:0016851	P:chlorophyll biosynthetic process; F:ATP binding; F:magnesium chelatase activity			IPR003593 (SMART); IPR002035 (SMART); IPR011776 (TIGRFAM); IPR041628 (PFAM); IPR000523 (PFAM); IPR002035 (PFAM); G3DSA:1.10.8.80 (GENE3D); IPR036465 (G3DSA:3.40.50.GENE3D); IPR027417 (G3DSA:3.40.50.GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR43473 (PANTHER); IPR002035 (PROSITE_PROFILES); IPR041702 (CDD); IPR027417 (SUPERFAMILY); IPR036465 (SUPERFAMILY)	P:GO:0015995; F:GO:0005524; F:GO:0016851	P:chlorophyll biosynthetic process; F:ATP binding; F:magnesium chelatase activity
true	[INTERPRO]	30_64		1287									no IPS match	no IPS match	no IPS match
true	[INTERPRO]	30_65		615									IPR013324 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO]	30_66		129									mobidb-lite (MOBIDB_LITE)	no GO terms	no GO terms
true	[INTERPRO]	30_67		306									no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, ANNOTATED]	30_68	WP_185974480.1	237	1	9.4E-13	58.44	1	P:GO:0006355	P:regulation of transcription, DNA-templated			IPR010985 (SUPERFAMILY)	P:GO:0006355	P:regulation of transcription, DNA-templated
true	[INTERPRO, BLASTED, ANNOTATED]	30_69	MBP6097743.1	405	1	7.62E-38	64.93	1	F:GO:0004540	F:ribonuclease activity			IPR002716 (PFAM); G3DSA:3.40.50.1010 (GENE3D); PTHR33653 (PANTHER); IPR022907 (HAMAP); cd18750 (CDD); IPR029060 (SUPERFAMILY)	F:GO:0004540	F:ribonuclease activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	30_70	WP_007312544.1	513	1	2.25E-118	100.0	1	C:GO:0016021	C:integral component of membrane			PTHR36109:SF1 (PANTHER); PTHR36109 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED]	30_71	PSB46750.1	441	1	5.55E-20	55.7	4	P:GO:0015628; C:GO:0015627; C:GO:0016020; C:GO:0016021	P:protein secretion by the type II secretion system; C:type II protein secretion system complex; C:membrane; C:integral component of membrane			IPR031975 (PFAM); G3DSA:3.30.700.10 (GENE3D); SSF54523 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	30_72	WP_124970087.1	1275	1	7.7E-165	75.31	3	P:GO:0006396; F:GO:0003723; F:GO:0016779	P:RNA processing; F:RNA binding; F:nucleotidyltransferase activity			IPR032810 (PFAM); IPR032828 (PFAM); IPR002646 (PFAM); IPR043519 (G3DSA:3.30.460.GENE3D); G3DSA:1.10.3090.10 (GENE3D); PTHR47545 (PANTHER); IPR002646 (CDD); IPR043519 (SUPERFAMILY); SSF81891 (SUPERFAMILY)	P:GO:0006396; F:GO:0003723; F:GO:0016779	P:RNA processing; F:RNA binding; F:nucleotidyltransferase activity
true	[INTERPRO, BLASTED]	30_73	WP_029631767.1	249	1	4.9E-42	84.15						IPR019656 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	30_74	NCQ69369.1	252	1	1.08E-8	63.01						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	30_75	MBI9019003.1	672	1	2.28E-9	44.51						IPR026374 (TIGRFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	30_76	HEA59964.1	210	1	1.72E-7	70.21						IPR031807 (PFAM); G3DSA:3.30.160.250 (GENE3D); IPR035069 (SUPERFAMILY)	no GO terms	no GO terms
