yourlist:M20210906F248CABF64506F29A91F8037F07B67D11995558	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs
NET80712.1	A0A6P0ZQF5	A0A6P0ZQF5_9CYAN	unreviewed	Metallophosphoesterase	F6J94_01560	Moorea sp. SIO1F2	240		
NES63931.1	A0A6P0XGG3	A0A6P0XGG3_9CYAN	unreviewed	GTP-binding protein	F6K24_00865	Okeania sp. SIO2D1	248		
NEO37199.1	A0A6P0KLG4	A0A6P0KLG4_9CYAN	unreviewed	Polyketide_cyc domain-containing protein	F6J90_13075	Moorea sp. SIOASIH	146		
PZV25635.1	A0A2W7B575	A0A2W7B575_9CYAN	unreviewed	HTH crp-type domain-containing protein	DCF12_13775	Snowella sp.	202	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700
BAY28196.1	A0A1Z4HFG6	A0A1Z4HFG6_9NOSO	unreviewed	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)	metK NIES2107_00200	Nostoc carneum NIES-2107	426	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; methionine adenosyltransferase activity [GO:0004478]; one-carbon metabolic process [GO:0006730]; S-adenosylmethionine biosynthetic process [GO:0006556]	GO:0000287; GO:0004478; GO:0005524; GO:0005737; GO:0006556; GO:0006730
KFF41548.1	A0A086CH84	A0A086CH84_9CHRO	unreviewed	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (UDP-N-acetylglucosamine acyltransferase) (EC 2.3.1.129)	lpxA ucyna2_00617	Candidatus Atelocyanobacterium thalassa isolate SIO64986	265	cytoplasm [GO:0005737]; acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity [GO:0008780]; lipid A biosynthetic process [GO:0009245]	GO:0005737; GO:0008780; GO:0009245
PYS61388.1	A0A2V8PFR1	A0A2V8PFR1_9BACT	unreviewed	G-D-S-L family lipolytic protein	DMF76_11160	Acidobacteria bacterium	422	integral component of membrane [GO:0016021]	GO:0016021
NEQ70484.1	A0A6P0S571	A0A6P0S571_9CYAN	unreviewed	Conjugal transfer protein TraF (Fragment)	F6K21_34330	Symploca sp. SIO2D2	98	protein disulfide oxidoreductase activity [GO:0015035]; glycerol ether metabolic process [GO:0006662]	GO:0006662; GO:0015035
PSN11165.1	A0A2P8VUF2	A0A2P8VUF2_9CYAN	unreviewed	Elongation factor Tu (EF-Tu)	tuf C7293_25325	filamentous cyanobacterium CCT1	409	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]	GO:0003746; GO:0003924; GO:0005525; GO:0005737
ADG99420.1	D6ZEE4	D6ZEE4_SEGRD	unreviewed	Ntox33 domain-containing protein	Srot_2992	Segniliparus rotundus (strain ATCC BAA-972 / CDC 1076 / CIP 108378 / DSM 44985 / JCM 13578)	472		
HFM98088.1	A0A7C3KEJ5	A0A7C3KEJ5_9CYAN	unreviewed	Colanic acid biosynthesis glycosyltransferase WcaL	ENR64_10100	Oscillatoriales cyanobacterium SpSt-418	403	"transferase activity, transferring glycosyl groups [GO:0016757]"	GO:0016757
PSO50468.1	A0A2T2RFV9	A0A2T2RFV9_9CYAN	unreviewed	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	purC BRC33_03265	Cyanobacteria bacterium SW_9_44_58	243	ATP binding [GO:0005524]; phosphoribosylaminoimidazolesuccinocarboxamide synthase activity [GO:0004639]; 'de novo' IMP biosynthetic process [GO:0006189]; cobalamin biosynthetic process [GO:0009236]	GO:0004639; GO:0005524; GO:0006189; GO:0009236
KFF41989.1	A0A086CIH5	A0A086CIH5_9CHRO	unreviewed	Outer membrane protein/protective antigen OMA87	ucyna2_00047	Candidatus Atelocyanobacterium thalassa isolate SIO64986	735	outer membrane [GO:0019867]	GO:0019867
OLD54708.1	A0A1Q7QSD5	A0A1Q7QSD5_9BACT	unreviewed	Uncharacterized protein	AUI64_04475	Acidobacteria bacterium 13_1_40CM_2_64_6	323	integral component of membrane [GO:0016021]	GO:0016021
ADN13041.1	E0UE37	E0UE37_GLOV7	unreviewed	Uncharacterized protein	Cyan7822_1031	Gloeothece verrucosa (strain PCC 7822) (Cyanothece sp. (strain PCC 7822))	363	integral component of membrane [GO:0016021]	GO:0016021
NJK73273.1	A0A7X6CJ60	A0A7X6CJ60_9CYAN	unreviewed	TAXI family TRAP transporter solute-binding subunit	HC942_02810	Microcoleus sp. SU_5_6	347		
NEP21211.1	A0A6M0B1A9	A0A6M0B1A9_9CYAN	unreviewed	Amidohydrolase	F6K49_03935	Moorea sp. SIO3I6	392	hydrolase activity [GO:0016787]	GO:0016787
HAX25323.1	A0A350T4V5	A0A350T4V5_9CHLR	unreviewed	Fatty acid hydroxylase domain-containing protein	DCX80_09820	Chloroflexi bacterium	314	integral component of membrane [GO:0016021]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; lipid biosynthetic process [GO:0008610]	GO:0005506; GO:0008610; GO:0016021; GO:0016491
CCQ55718.1	T2IRR7	T2IRR7_CROWT	unreviewed	Uncharacterized protein	CWATWH0005_5340	Crocosphaera watsonii WH 0005	82		
TYQ29318.1	A0A6C2DW36	A0A6C2DW36_9CYAN	unreviewed	Uncharacterized protein	PseudUWO310_12840	Pseudanabaena sp. UWO310	65		
GBF79119.1	A0A401ID55	A0A401ID55_APHSA	unreviewed	Tetratricopeptide repeat domain protein	AsFPU1_0511	Aphanothece sacrum FPU1	202		
ELP53839.1	L7E465	L7E465_MICAE	unreviewed	Uncharacterized protein	O53_2648	Microcystis aeruginosa TAIHU98	162		
HGG01202.1	A0A7C3ZKL6	A0A7C3ZKL6_9CYAN	unreviewed	30S ribosomal protein S3	rpsC rps3 ENR15_11270	Planktothricoides sp. SpSt-374	244	ribosome [GO:0005840]; mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003729; GO:0003735; GO:0005840; GO:0006412; GO:0019843
BAZ39920.1	A0A1Z4RBU4	A0A1Z4RBU4_9CYAN	unreviewed	30S ribosomal protein S8	rpsH rps8 NIES4101_58770	Calothrix sp. NIES-4101	133	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0019843
TVQ05970.1	A0A5Q4E019	A0A5Q4E019_9CYAN	unreviewed	30S ribosomal protein S11	rpsK rps11 EA368_18110	Leptolyngbya sp. DLM2.Bin27	130	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0019843
EAM51862.1	Q4C6V6	Q4C6V6_CROWT	unreviewed	Uncharacterized protein	CwatDRAFT_4951	Crocosphaera watsonii WH 8501	205		
EHJ13833.1	G5J1V2	G5J1V2_CROWT	unreviewed	Twitching motility protein PilT	CWATWH0003_1483	Crocosphaera watsonii WH 0003	368	ATP binding [GO:0005524]	GO:0005524
PZU94864.1	A0A2W6YVF8	A0A2W6YVF8_9CYAN	unreviewed	Lysophospholipase	DCE90_13665	Pseudanabaena sp.	296		
PSB33079.1	A0A2T1EJZ6	A0A2T1EJZ6_9CYAN	unreviewed	Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)	purN C7B69_06855	filamentous cyanobacterium Phorm 46	223	phosphoribosylglycinamide formyltransferase activity [GO:0004644]; 'de novo' IMP biosynthetic process [GO:0006189]	GO:0004644; GO:0006189
HAT13178.1	A0A349JHB4	A0A349JHB4_9CYAN	unreviewed	Uncharacterized protein	DCS91_06050	Microcoleaceae bacterium UBA11344	146		
MBN71090.1	A0A2E7KE57	A0A2E7KE57_9PLAN	unreviewed	Cadherin domain-containing protein (Fragment)	CME32_17625	Gimesia sp.	1489	membrane [GO:0016020]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	GO:0005509; GO:0007156; GO:0016020
MBG89685.1	A0A2E5ESK9	A0A2E5ESK9_9BACT	unreviewed	Methyltransferase type 11	CMO80_22685	Verrucomicrobiales bacterium	289	methyltransferase activity [GO:0008168]; methylation [GO:0032259]	GO:0008168; GO:0032259
NEZ56187.1	A0A6M0RJ24	A0A6M0RJ24_9CYAN	unreviewed	DUF433 domain-containing protein	DXZ20_10965	Leptolyngbyaceae cyanobacterium CCMR0081	93		
AOY84950.1	A0A1D9GC53	A0A1D9GC53_9CYAN	unreviewed	Carrier domain-containing protein	BJP36_29255	Moorea producens JHB	2586	3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; oxidoreductase activity [GO:0016491]; phosphopantetheine binding [GO:0031177]; fatty acid biosynthetic process [GO:0006633]	GO:0004315; GO:0006633; GO:0016491; GO:0031177
NND71382.1	A0A7Y1ZNY6	A0A7Y1ZNY6_9BACT	unreviewed	Peroxide stress protein YaaA	yaaA HKN43_07370	Rhodothermales bacterium	259		
PZO44719.1	A0A2W4WSA7	A0A2W4WSA7_9CYAN	unreviewed	Glutathione peroxidase	DCF17_03605	Shackletoniella antarctica	154	glutathione peroxidase activity [GO:0004602]; response to oxidative stress [GO:0006979]	GO:0004602; GO:0006979
PNV85435.1	A0A2K2VS78	A0A2K2VS78_9DELT	unreviewed	"1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)"	glgB C0610_11845	Desulfobacteraceae bacterium	739	"1,4-alpha-glucan branching enzyme activity [GO:0003844]; 1,4-alpha-glucan branching enzyme activity (using a glucosylated glycogenin as primer for glycogen synthesis) [GO:0102752]; cation binding [GO:0043169]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; glycogen biosynthetic process [GO:0005978]"	GO:0003844; GO:0004553; GO:0005978; GO:0043169; GO:0102752
NNE10403.1	A0A7Y2B720	A0A7Y2B720_9BACT	unreviewed	DUF4437 domain-containing protein	HKN20_17715	Gemmatimonadetes bacterium	272		
NEO00993.1	A0A6P0ITQ4	A0A6P0ITQ4_9CYAN	unreviewed	IS200/IS605 family element transposase accessory protein TnpB	tnpB F6K50_37920	Moorea sp. SIO3I7	432	DNA binding [GO:0003677]; DNA recombination [GO:0006310]; transposition [GO:0032196]	GO:0003677; GO:0006310; GO:0032196
EHJ11818.1	G5J7M0	G5J7M0_CROWT	unreviewed	Glycine dehydrogenase (decarboxylating) (EC 1.4.4.2) (Glycine cleavage system P-protein) (Glycine decarboxylase) (Glycine dehydrogenase (aminomethyl-transferring))	gcvP CWATWH0003_3457	Crocosphaera watsonii WH 0003	940	glycine dehydrogenase (decarboxylating) activity [GO:0004375]; glycine decarboxylation via glycine cleavage system [GO:0019464]	GO:0004375; GO:0019464
BBD61186.1	A0A2Z6CXT9	A0A2Z6CXT9_9NOSO	unreviewed	Uncharacterized protein	NIES2109_39900	Nostoc sp. HK-01	129		
HAX78416.1	A0A350XGJ8	A0A350XGJ8_9CYAN	unreviewed	Histidine kinase (EC 2.7.13.3)	DCY88_21965	Cyanobacteria bacterium UBA11372	1136	cytoplasm [GO:0005737]; phosphorelay sensor kinase activity [GO:0000155]; chemotaxis [GO:0006935]	GO:0000155; GO:0005737; GO:0006935
NEO41497.1	A0A6P0L380	A0A6P0L380_9CYAN	unreviewed	GAF domain-containing protein	F6J90_36290	Moorea sp. SIOASIH	1034	integral component of membrane [GO:0016021]; protein-chromophore linkage [GO:0018298]; signal transduction [GO:0007165]	GO:0007165; GO:0016021; GO:0018298
RCJ40762.1	A0A367RZY1	A0A367RZY1_9NOSO	unreviewed	ATP phosphoribosyltransferase regulatory subunit	hisZ A6770_10165	Nostoc minutum NIES-26	403	"cytoplasm [GO:0005737]; aspartic-type endopeptidase activity [GO:0004190]; transferase activity, transferring glycosyl groups [GO:0016757]; histidine biosynthetic process [GO:0000105]"	GO:0000105; GO:0004190; GO:0005737; GO:0016757
GBD86282.1	A0A2H6E9V4	A0A2H6E9V4_9BACT	unreviewed	Uncharacterized protein	BMS3Abin03_00196	bacterium BMS3Abin03	66		
OAD20870.1	A0A176RYM2	A0A176RYM2_9GAMM	unreviewed	Type II site-specific deoxyribonuclease	THIOM_003397	Candidatus Thiomargarita nelsonii	326	DNA binding [GO:0003677]; magnesium ion binding [GO:0000287]; type II site-specific deoxyribonuclease activity [GO:0009036]; DNA restriction-modification system [GO:0009307]	GO:0000287; GO:0003677; GO:0009036; GO:0009307
HAC62569.1	A0A3B8XXH1	A0A3B8XXH1_9CYAN	unreviewed	Mechanosensitive ion channel protein MscS	DCF68_03290	Cyanothece sp. UBA12306	364	integral component of membrane [GO:0016021]; transmembrane transport [GO:0055085]	GO:0016021; GO:0055085
NEO37755.1	A0A6P0KR61	A0A6P0KR61_9CYAN	unreviewed	PepSY domain-containing protein	F6J90_16020	Moorea sp. SIOASIH	106	integral component of membrane [GO:0016021]	GO:0016021
GCA78495.1	A0A5A5RU07	A0A5A5RU07_MICAE	unreviewed	Uncharacterized protein	MiTs_00476	Microcystis aeruginosa NIES-2521	483		
KFB68534.1	A0A084Y1E0	A0A084Y1E0_9PROT	unreviewed	Serine-aspartate repeat-containing protein F	sdrF CAPSK01_001930	Candidatus Accumulibacter sp. SK-01	1426		
HCF25940.1	A0A3D1P549	A0A3D1P549_9CYAN	unreviewed	DUF3119 domain-containing protein	DEV81_01660	Cyanobacteria bacterium UBA11049	132	integral component of membrane [GO:0016021]	GO:0016021
NET89007.1	A0A6P1AD99	A0A6P1AD99_9CYAN	unreviewed	DUF2997 domain-containing protein	F6K45_13105	Kamptonema sp. SIO1D9	71		
NET81004.1	A0A6P0ZSI1	A0A6P0ZSI1_9CYAN	unreviewed	ABC transporter permease	F6J94_03140	Moorea sp. SIO1F2	356	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transport [GO:0055085]	GO:0005886; GO:0016021; GO:0055085
HBE17132.1	A0A352X533	A0A352X533_9CYAN	unreviewed	Caspase domain-containing protein	DDW51_05835	Cyanobacteria bacterium UBA11367	427		
RKZ76444.1	A0A496VSV3	A0A496VSV3_9GAMM	unreviewed	Cytosine-specific methyltransferase (EC 2.1.1.37)	DRQ57_03665	Gammaproteobacteria bacterium	443	DNA (cytosine-5-)-methyltransferase activity [GO:0003886]; DNA restriction-modification system [GO:0009307]	GO:0003886; GO:0009307
NEO97309.1	A0A6B3M317	A0A6B3M317_9CYAN	unreviewed	TerB family tellurite resistance protein	F6K58_01040	Symploca sp. SIO2E9	140		
NEP53462.1	A0A6P0NDG5	A0A6P0NDG5_9CYAN	unreviewed	Uncharacterized protein	F6K65_33570	Moorea sp. SIO3C2	85		
PSR22258.1	A0A2T2WJ43	A0A2T2WJ43_9FIRM	unreviewed	Uncharacterized protein	C7B45_07780	Sulfobacillus acidophilus	81		
NEO33649.1	A0A6P0KBC7	A0A6P0KBC7_9CYAN	unreviewed	Anthranilate phosphoribosyltransferase family protein	F6K36_25135	Symploca sp. SIO3C6	368	"transferase activity, transferring glycosyl groups [GO:0016757]"	GO:0016757
RLA21563.1	A0A661FE43	A0A661FE43_9GAMM	unreviewed	Sodium:dicarboxylate symporter	DRQ56_00210 DRQ61_06870	Gammaproteobacteria bacterium	717	integral component of membrane [GO:0016021]; symporter activity [GO:0015293]	GO:0015293; GO:0016021
NET28003.1	A0A6M0FLV6	A0A6M0FLV6_9CYAN	unreviewed	DUF1611 domain-containing protein	F6K01_22300	Okeania sp. SIO1I7	356		
NEN98180.1	A0A6P0IMG1	A0A6P0IMG1_9CYAN	unreviewed	Methyl-accepting chemotaxis protein	F6K50_22480	Moorea sp. SIO3I7	557	integral component of membrane [GO:0016021]; transmembrane signaling receptor activity [GO:0004888]; chemotaxis [GO:0006935]; signal transduction [GO:0007165]	GO:0004888; GO:0006935; GO:0007165; GO:0016021
NOS72244.1	A0A7Y4QNL8	A0A7Y4QNL8_9BACT	unreviewed	Uncharacterized protein	HOP33_20255	Verrucomicrobia bacterium	414		
NET55901.1	A0A6M0FWJ4	A0A6M0FWJ4_9CYAN	unreviewed	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)	murC F6K47_06945	Symploca sp. SIO2E6	505	cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; UDP-N-acetylmuramate-L-alanine ligase activity [GO:0008763]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	GO:0005524; GO:0005737; GO:0007049; GO:0008360; GO:0008763; GO:0009252; GO:0016021; GO:0051301; GO:0071555
NEO64340.1	A0A6M0AI35	A0A6M0AI35_9CYAN	unreviewed	DUF2996 domain-containing protein	F6J98_29620	Moorea sp. SIO4G2	237		
NER48205.1	A0A6P0VKR2	A0A6P0VKR2_9CYAN	unreviewed	Sirohydrochlorin chelatase	F6J92_16190	Symploca sp. SIO1A3	249	lyase activity [GO:0016829]; metal ion binding [GO:0046872]	GO:0016829; GO:0046872
MXZ08798.1	A0A7X3RIP6	A0A7X3RIP6_9BACT	unreviewed	Type II toxin-antitoxin system RelE/ParE family toxin	F4Y79_05070	Gemmatimonadetes bacterium	108		
RVT80639.1	A0A3S2V8T2	A0A3S2V8T2_9RHOB	unreviewed	Type II toxin-antitoxin system RelE/ParE family toxin	DXV76_21080	Rhodobacteraceae bacterium CCMM004	109		
HEB55080.1	A0A7C1TDU4	A0A7C1TDU4_9GAMM	unreviewed	Transcriptional regulator	ENI98_02005	Gammaproteobacteria bacterium	107		
PSN10911.1	A0A2P8VTL9	A0A2P8VTL9_9CYAN	unreviewed	Lipoyl synthase (EC 2.8.1.8) (Lip-syn) (LS) (Lipoate synthase) (Lipoic acid synthase) (Sulfur insertion protein LipA)	lipA C7293_26320	filamentous cyanobacterium CCT1	303	"cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; lipoate synthase activity [GO:0016992]; lipoyl synthase activity (acting on glycine-cleavage complex H protein [GO:0102552]; lipoyl synthase activity (acting on pyruvate dehydrogenase E2 protein) [GO:0102553]; metal ion binding [GO:0046872]; protein lipoylation [GO:0009249]"	GO:0005737; GO:0009249; GO:0016992; GO:0046872; GO:0051539; GO:0102552; GO:0102553
REJ44067.1	A0A3E0L9U6	A0A3E0L9U6_9CHRO	unreviewed	Ribosomal protein L11 methyltransferase (L11 Mtase) (EC 2.1.1.-)	prmA DWQ54_00470	Microcystis flos-aquae TF09	298	cytoplasm [GO:0005737]; ribosome [GO:0005840]; protein methyltransferase activity [GO:0008276]	GO:0005737; GO:0005840; GO:0008276
HAA28390.1	A0A3B8JJP2	A0A3B8JJP2_9CYAN	unreviewed	Helicase	DCE56_12770	Cyanobacteria bacterium UBA8553	529	ATP binding [GO:0005524]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]	GO:0003677; GO:0004386; GO:0005524; GO:0016787
OZH51727.1	A0A261KJJ8	A0A261KJJ8_9CYAN	unreviewed	DNA mismatch repair protein MutS	mutS AFK68_29030	Hydrocoleum sp. CS-953	870	ATP binding [GO:0005524]; damaged DNA binding [GO:0003684]; mismatched DNA binding [GO:0030983]; mismatch repair [GO:0006298]	GO:0003684; GO:0005524; GO:0006298; GO:0030983
NER34212.1	A0A7C9PTB8	A0A7C9PTB8_9CYAN	unreviewed	Antitoxin	F6J93_09250	Oscillatoria sp. SIO1A7	96		
ACK64375.1	B7K355	B7K355_RIPO1	unreviewed	GTPase HflX (GTP-binding protein HflX)	hflX PCC8801_0275	Rippkaea orientalis (strain PCC 8801) (Cyanothece sp. (strain PCC 8801))	564	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]	GO:0003924; GO:0005525; GO:0005737; GO:0046872
CCQ53208.1	T2IJG5	T2IJG5_CROWT	unreviewed	Uncharacterized protein	CWATWH8502_4030	Crocosphaera watsonii WH 8502	182		
NET87500.1	A0A6P1A8B1	A0A6P1A8B1_9CYAN	unreviewed	SHOCT domain-containing protein	F6K45_05255	Kamptonema sp. SIO1D9	135	integral component of membrane [GO:0016021]	GO:0016021
HAX79906.1	A0A350XKT8	A0A350XKT8_9CYAN	unreviewed	Sec-independent protein translocase protein TatA	tatA DCY88_29745	Cyanobacteria bacterium UBA11372	83	integral component of plasma membrane [GO:0005887]; TAT protein transport complex [GO:0033281]; protein transmembrane transporter activity [GO:0008320]; protein transport by the Tat complex [GO:0043953]	GO:0005887; GO:0008320; GO:0033281; GO:0043953
AFZ44234.1	K9YBL5	K9YBL5_HALP7	unreviewed	Amino acid carrier protein	PCC7418_2071	Halothece sp. (strain PCC 7418) (Synechococcus sp. (strain PCC 7418))	517	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; alanine:sodium symporter activity [GO:0015655]	GO:0005886; GO:0015655; GO:0016021
TRU47767.1	A0A552FMA0	A0A552FMA0_MICAE	unreviewed	Tol biopolymer transporter periplasmic protein	EWV57_15955	Microcystis aeruginosa Ma_QC_Ch_20071001_S25D	172		
HGF99402.1	A0A7C3ZHN4	A0A7C3ZHN4_9CYAN	unreviewed	Phosphoribulokinase (EC 2.7.1.19)	ENR15_01700	Planktothricoides sp. SpSt-374	334	ATP binding [GO:0005524]; phosphoribulokinase activity [GO:0008974]; carbohydrate metabolic process [GO:0005975]	GO:0005524; GO:0005975; GO:0008974
NER49650.1	A0A6P0VQD0	A0A6P0VQD0_9CYAN	unreviewed	Ferredoxin--NADP reductase (FNR) (EC 1.18.1.2)	F6J92_23750	Symploca sp. SIO1A3	391	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; ferredoxin-NADP+ reductase activity [GO:0004324]	GO:0004324; GO:0030089; GO:0031676
PSB13682.1	A0A2T1CZK5	A0A2T1CZK5_9CYAN	unreviewed	MCE family protein	C7B76_19005	filamentous cyanobacterium CCP2	407	integral component of membrane [GO:0016021]	GO:0016021
NUR77699.1	A0A7Y5X236	A0A7Y5X236_9ACTN	unreviewed	Response regulator	HOQ28_15620	Thermoleophilia bacterium	234		
OQY56137.1	A0A1W9X5S2	A0A1W9X5S2_9GAMM	unreviewed	STAS domain-containing protein	B6247_05150	Beggiatoa sp. 4572_84	114		
HAZ48886.1	A0A351LDL6	A0A351LDL6_9CYAN	unreviewed	Ribokinase	DCZ55_31655	Cyanobacteria bacterium UBA11371	288	kinase activity [GO:0016301]	GO:0016301
NES20358.1	A0A6P0WSN2	A0A6P0WSN2_9CYAN	unreviewed	Cation transporter	F6K41_15845	Caldora sp. SIO3E6	303	integral component of membrane [GO:0016021]; cation transmembrane transporter activity [GO:0008324]	GO:0008324; GO:0016021
CEJ45464.1	A0A654SGH5	A0A654SGH5_9CYAN	unreviewed	R3H domain-containing protein	apha_01947	Chrysosporum ovalisporum	173	nucleic acid binding [GO:0003676]	GO:0003676
HAU58741.1	A0A349WD76	A0A349WD76_9BACT	unreviewed	Methyltransferase type 11	DCW45_00070	Opitutae bacterium	289	methyltransferase activity [GO:0008168]; methylation [GO:0032259]	GO:0008168; GO:0032259
TRT58469.1	A0A551YC05	A0A551YC05_MICAE	unreviewed	SDR family oxidoreductase	EWV85_05840	Microcystis aeruginosa Ma_QC_C_20070703_M131	258	oxidoreductase activity [GO:0016491]	GO:0016491
NEO33248.1	A0A6P0KDU1	A0A6P0KDU1_9CYAN	unreviewed	Uncharacterized protein	F6K36_23040	Symploca sp. SIO3C6	88		
NEQ81350.1	A0A6P0SHR6	A0A6P0SHR6_9CYAN	unreviewed	Endoglucanase (EC 3.2.1.4)	F6K26_14190	Moorea sp. SIO2I5	502	cellulase activity [GO:0008810]; cellulose catabolic process [GO:0030245]	GO:0008810; GO:0030245
AIL45164.1	A0A077EG83	A0A077EG83_9FLAO	unreviewed	Uncharacterized protein	BD94_1389	Elizabethkingia anophelis NUHP1	173		
KFF41045.1	A0A086CFT1	A0A086CFT1_9CHRO	unreviewed	DUF4168 domain-containing protein	ucyna2_01112	Candidatus Atelocyanobacterium thalassa isolate SIO64986	135		
CCQ53786.1	T2IJQ5	T2IJQ5_CROWT	unreviewed	Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)	rsmH CWATWH0005_4280	Crocosphaera watsonii WH 0005	288	cytoplasm [GO:0005737]; rRNA (cytosine-N4-)-methyltransferase activity [GO:0071424]; rRNA base methylation [GO:0070475]	GO:0005737; GO:0070475; GO:0071424
AIE75440.1	A0A068MZX9	A0A068MZX9_SYNY4	unreviewed	ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein)	atpH atpE D082_29120	Synechocystis sp. (strain PCC 6714) (Aphanocapsa sp. (strain PCC 6714))	126	"integral component of membrane [GO:0016021]; plasma membrane-derived thylakoid membrane [GO:0031676]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]; hydrolase activity [GO:0016787]; lipid binding [GO:0008289]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]"	GO:0008289; GO:0016021; GO:0016787; GO:0031676; GO:0045263; GO:0046933
PZV24197.1	A0A2W7B327	A0A2W7B327_9CYAN	unreviewed	DUF3285 domain-containing protein	DCF12_17790	Snowella sp.	62	integral component of membrane [GO:0016021]	GO:0016021
KPQ38906.1	A0A0N8KPB9	A0A0N8KPB9_9CYAN	unreviewed	Short chain dehydrogenase	HLUCCO16_10585	Phormidium sp. OSCR	418	oxidoreductase activity [GO:0016491]	GO:0016491
OQY47926.1	A0A1W9WH49	A0A1W9WH49_9GAMM	unreviewed	Uncharacterized protein	B6247_25845	Beggiatoa sp. 4572_84	124		
BAP18489.1	A0A077JES7	A0A077JES7_9CYAN	unreviewed	Gluconokinase (EC 2.7.1.12)	ETSB_1786	cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko	158	ATP binding [GO:0005524]; gluconokinase activity [GO:0046316]; carbohydrate metabolic process [GO:0005975]	GO:0005524; GO:0005975; GO:0046316
NEO74554.1	A0A6P0LNR1	A0A6P0LNR1_9CYAN	unreviewed	IS200/IS605 family element transposase accessory protein TnpB (Fragment)	tnpB F6K52_35140	Moorea sp. SIO3H5	459	DNA binding [GO:0003677]; DNA recombination [GO:0006310]; transposition [GO:0032196]	GO:0003677; GO:0006310; GO:0032196
PVV06950.1	A0A2T9ZQY8	A0A2T9ZQY8_9GAMM	unreviewed	Alkaline phosphatase	B6D77_14835	gamma proteobacterium symbiont of Ctena orbiculata	543		
EGK87547.1	F5UH59	F5UH59_9CYAN	unreviewed	Transposase IS4 family protein	MicvaDRAFT_5286	Microcoleus vaginatus FGP-2	179		
CCQ52992.1	T2IJN0	T2IJN0_CROWT	unreviewed	Response regulator receiver	CWATWH8502_4062	Crocosphaera watsonii WH 8502	170	phosphorelay signal transduction system [GO:0000160]	GO:0000160
ABE10827.1	Q1PL46	Q1PL46_PROMR	unreviewed	Uncharacterized protein	ASNC2150_0020	uncultured Prochlorococcus marinus clone ASNC2150	211	integral component of membrane [GO:0016021]	GO:0016021
